Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_224241.313179	3.06161699787e-17	1.5047	0.0	-1.1886	1.57079632679	2.7245	1	
20200423_224241.412922	3.06161699787e-17	1.5047	0.0	-1.1887	1.57079632679	2.7182	1	
20200423_224241.512981	3.06161699787e-17	1.5041	0.0	-1.1888	1.57079632679	2.7167	1	
20200423_224241.612880	3.06161699787e-17	1.4876	0.0	-1.1914	1.57079632679	2.9932	1	
20200423_224241.712871	3.06161699787e-17	1.4784	0.0	-1.1915	1.57079632679	2.9242	1	
20200423_224241.813228	3.06161699787e-17	1.4689	0.0	-1.1915	1.57079632679	2.8378	1	
20200423_224241.912933	3.06161699787e-17	1.4579	0.0	-1.1878	1.57079632679	2.7885	1	
20200423_224242.012896	3.06161699787e-17	1.4512	0.0	-1.1869	1.57079632679	2.7067	1	
20200423_224242.112934	3.06161699787e-17	1.4429	0.0	-1.1848	1.57079632679	2.6384	1	
20200423_224242.213033	3.06161699787e-17	1.4354	0.0	-1.1829	1.57079632679	2.5588	1	
20200423_224242.312943	3.06161699787e-17	1.4257	0.0	-1.1778	1.57079632679	2.4958	1	
20200423_224242.413138	3.06161699787e-17	1.4189	0.0	-1.1739	1.57079632679	2.4288	1	
20200423_224242.512871	3.06161699787e-17	1.4127	0.0	-1.1704	1.57079632679	2.3458	1	
20200423_224242.612739	3.06161699787e-17	1.4037	0.0	-1.1611	1.57079632679	2.4089	1	
20200423_224242.712924	3.06161699787e-17	1.3981	0.0	-1.1544	1.57079632679	2.4482	1	
20200423_224242.813034	3.06161699787e-17	1.3911	0.0	-1.149	1.57079632679	2.428	1	
20200423_224242.913004	3.06161699787e-17	1.3843	0.0	-1.1443	1.57079632679	2.4495	1	
20200423_224243.012995	3.06161699787e-17	1.3763	0.0	-1.1372	1.57079632679	2.4533	1	
20200423_224243.112918	3.06161699787e-17	1.3702	0.0	-1.1334	1.57079632679	2.4449	1	
20200423_224243.212897	3.06161699787e-17	1.3628	0.0	-1.1265	1.57079632679	2.4272	1	
20200423_224243.312988	3.06161699787e-17	1.3548	0.0	-1.1195	1.57079632679	2.4514	1	
20200423_224243.412933	3.06161699787e-17	1.3479	0.0	-1.115	1.57079632679	2.4196	1	
20200423_224243.512998	3.06161699787e-17	1.3409	0.0	-1.1097	1.57079632679	2.4243	1	
20200423_224243.612860	3.06161699787e-17	1.334	0.0	-1.1033	1.57079632679	2.4229	1	
20200423_224243.712944	3.06161699787e-17	1.3261	0.0	-1.098	1.57079632679	2.4216	1	
20200423_224243.812965	3.06161699787e-17	1.3186	0.0	-1.0923	1.57079632679	2.4164	1	
20200423_224243.913026	3.06161699787e-17	1.3117	0.0	-1.0873	1.57079632679	2.4092	1	
20200423_224244.012953	3.06161699787e-17	1.3038	0.0	-1.0797	1.57079632679	2.3962	1	
20200423_224244.113034	3.06161699787e-17	1.2942	0.0	-1.0706	1.57079632679	2.4199	1	
20200423_224244.213006	3.06161699787e-17	1.2889	0.0	-1.0667	1.57079632679	2.3932	1	
20200423_224244.312828	3.06161699787e-17	1.2812	0.0	-1.0611	1.57079632679	2.3938	1	
20200423_224244.412964	-0.293892626146	1.2745	-0.0954915028125	-1.0546	2.19911485751	2.415	1	
20200423_224244.513034	-0.293892626146	1.2657	-0.0954915028125	-1.0472	2.19911485751	2.4395	1	
20200423_224244.612809	-0.293892626146	1.2569	-0.0954915028125	-1.037	2.19911485751	2.5232	1	
20200423_224244.712926	-0.293892626146	1.2529	-0.0954915028125	-1.0344	2.19911485751	2.5837	1	
