Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200424_210631.456042	-9.18485099361e-17	-0.8007	-0.5	-1.0621	-1.57079632679	-2.2192	1	
20200424_210631.548684	-9.18485099361e-17	-0.8008	-0.5	-1.0622	-1.57079632679	-2.2162	1	
20200424_210631.647915	-9.18485099361e-17	-0.8051	-0.5	-1.0662	-1.57079632679	-2.1573	1	
20200424_210631.748932	-9.18485099361e-17	-0.8125	-0.5	-1.0731	-1.57079632679	-2.0542	1	
20200424_210631.848014	-9.18485099361e-17	-0.8208	-0.5	-1.0819	-1.57079632679	-1.9315	1	
20200424_210631.948301	-9.18485099361e-17	-0.8271	-0.5	-1.0902	-1.57079632679	-1.7916	1	
20200424_210632.047879	-9.18485099361e-17	-0.8323	-0.5	-1.1006	-1.57079632679	-1.6608	1	
20200424_210632.148766	-9.18485099361e-17	-0.8361	-0.5	-1.1107	-1.57079632679	-1.5362	1	
20200424_210632.248437	-9.18485099361e-17	-0.8395	-0.5	-1.1221	-1.57079632679	-1.3976	1	
20200424_210632.347855	-9.18485099361e-17	-0.8406	-0.5	-1.1323	-1.57079632679	-1.2761	1	
20200424_210632.447900	-9.18485099361e-17	-0.8408	-0.5	-1.1443	-1.57079632679	-1.167	1	
20200424_210632.652436	-9.18485099361e-17	-0.8368	-0.5	-1.166	-1.57079632679	-0.9166	1	
20200424_210632.654417	-9.18485099361e-17	-0.8364	-0.5	-1.1678	-1.57079632679	-0.8933	1	
20200424_210632.748941	-9.18485099361e-17	-0.8314	-0.5	-1.1778	-1.57079632679	-0.785	1	
20200424_210632.848726	-9.18485099361e-17	-0.8279	-0.5	-1.1845	-1.57079632679	-0.6674	1	
20200424_210632.950349	-9.18485099361e-17	-0.8228	-0.5	-1.1931	-1.57079632679	-0.5527	1	
20200424_210633.048227	-9.18485099361e-17	-0.8145	-0.5	-1.2023	-1.57079632679	-0.4312	1	
20200424_210633.147956	-9.18485099361e-17	-0.8064	-0.5	-1.2101	-1.57079632679	-0.3066	1	
20200424_210633.247780	-9.18485099361e-17	-0.7959	-0.5	-1.2164	-1.57079632679	-0.1801	1	
20200424_210633.349344	-9.18485099361e-17	-0.7857	-0.5	-1.2221	-1.57079632679	-0.0523	1	
20200424_210633.449532	-9.18485099361e-17	-0.7742	-0.5	-1.226	-1.57079632679	0.0732	1	
20200424_210633.548441	-9.18485099361e-17	-0.7624	-0.5	-1.2274	-1.57079632679	0.1956	1	
20200424_210633.647864	-9.18485099361e-17	-0.7506	-0.5	-1.2289	-1.57079632679	0.3242	1	
20200424_210633.748673	-9.18485099361e-17	-0.738	-0.5	-1.2286	-1.57079632679	0.4562	1	
20200424_210633.847812	-9.18485099361e-17	-0.7262	-0.5	-1.2257	-1.57079632679	0.5741	1	
20200424_210633.949086	-9.18485099361e-17	-0.7145	-0.5	-1.2205	-1.57079632679	0.6649	1	
20200424_210634.049252	-9.18485099361e-17	-0.7006	-0.5	-1.2127	-1.57079632679	0.7254	1	
20200424_210634.149015	-9.18485099361e-17	-0.6861	-0.5	-1.2009	-1.57079632679	0.7633	1	
20200424_210634.248153	-9.18485099361e-17	-0.6716	-0.5	-1.1883	-1.57079632679	0.7924	1	
20200424_210634.348811	-9.18485099361e-17	-0.6575	-0.5	-1.1737	-1.57079632679	0.7973	1	
