Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_222126.338606	0.5	-0.0932	-1.22464679915e-16	-0.4577	0.0	-0.1021	1	
20200423_222126.434419	0.5	-0.0933	-1.22464679915e-16	-0.4576	0.0	-0.1009	1	
20200423_222126.535133	0.5	-0.0882	-1.22464679915e-16	-0.459	0.0	-0.0682	1	
20200423_222126.634304	0.5	-0.081	-1.22464679915e-16	-0.4616	0.0	-0.0049	1	
20200423_222126.734609	0.5	-0.0724	-1.22464679915e-16	-0.4631	0.0	0.0459	1	
20200423_222126.834855	0.5	-0.0623	-1.22464679915e-16	-0.4656	0.0	0.1231	1	
20200423_222126.934096	0.5	-0.0518	-1.22464679915e-16	-0.4662	0.0	0.1994	1	
20200423_222127.034184	0.5	-0.0402	-1.22464679915e-16	-0.4663	0.0	0.2731	1	
20200423_222127.134483	0.5	-0.0311	-1.22464679915e-16	-0.4658	0.0	0.3522	1	
20200423_222127.235194	0.5	-0.0194	-1.22464679915e-16	-0.4641	0.0	0.4243	1	
20200423_222127.334193	0.5	-0.009	-1.22464679915e-16	-0.4621	0.0	0.5061	1	
20200423_222127.434153	0.5	0.0008	-1.22464679915e-16	-0.4586	0.0	0.5766	1	
20200423_222127.534302	0.5	0.0103	-1.22464679915e-16	-0.4549	0.0	0.6422	1	
20200423_222127.634199	0.5	0.019	-1.22464679915e-16	-0.4509	0.0	0.7159	1	
20200423_222127.734721	0.5	0.0289	-1.22464679915e-16	-0.4448	0.0	0.7807	1	
20200423_222127.834072	0.5	0.0365	-1.22464679915e-16	-0.4388	0.0	0.8304	1	
20200423_222127.935331	0.5	0.0415	-1.22464679915e-16	-0.4327	0.0	0.814	1	
20200423_222128.034534	0.5	0.0492	-1.22464679915e-16	-0.424	0.0	0.8165	1	
20200423_222128.134242	0.5	0.0558	-1.22464679915e-16	-0.4172	0.0	0.8192	1	
20200423_222128.234421	0.5	0.062	-1.22464679915e-16	-0.4106	0.0	0.8199	1	
20200423_222128.334115	0.5	0.069	-1.22464679915e-16	-0.4034	0.0	0.8231	1	
20200423_222128.434847	0.5	0.0744	-1.22464679915e-16	-0.3956	0.0	0.8182	1	
20200423_222128.534256	0.5	0.0819	-1.22464679915e-16	-0.3883	0.0	0.818	1	
20200423_222128.634419	0.5	0.0887	-1.22464679915e-16	-0.3795	0.0	0.8392	1	
20200423_222128.734074	0.5	0.095	-1.22464679915e-16	-0.3739	0.0	0.8369	1	
20200423_222128.834201	0.5	0.1001	-1.22464679915e-16	-0.3657	0.0	0.7716	1	
20200423_222128.934758	0.5	0.1056	-1.22464679915e-16	-0.3586	0.0	0.7158	1	
20200423_222129.034143	0.5	0.1121	-1.22464679915e-16	-0.3512	0.0	0.6881	1	
20200423_222129.134535	0.5	0.1204	-1.22464679915e-16	-0.3447	0.0	0.6847	1	
20200423_222129.234150	0.5	0.126	-1.22464679915e-16	-0.3392	0.0	0.6769	1	
20200423_222129.334035	0.5	0.1341	-1.22464679915e-16	-0.333	0.0	0.6797	1	
20200423_222129.434314	0.5	0.1418	-1.22464679915e-16	-0.3263	0.0	0.6795	1	
20200423_222129.534308	0.5	0.1498	-1.22464679915e-16	-0.3201	0.0	0.6804	1	
20200423_222129.634525	0.5	0.1575	-1.22464679915e-16	-0.3138	0.0	0.6805	1	
20200423_222129.734178	0.5	0.1649	-1.22464679915e-16	-0.3075	0.0	0.6785	1	
20200423_222129.834510	0.5	0.1727	-1.22464679915e-16	-0.301	0.0	0.6752	1	
20200423_222129.934327	0.5	0.1792	-1.22464679915e-16	-0.295	0.0	0.6766	1	
20200423_222130.034151	0.5	0.1875	-1.22464679915e-16	-0.2892	0.0	0.6779	1	
20200423_222130.134851	0.5	0.1949	-1.22464679915e-16	-0.2821	0.0	0.6772	1	
20200423_222130.234099	0.5	0.2019	-1.22464679915e-16	-0.2763	0.0	0.6824	1	
20200423_222130.334049	0.5	0.2095	-1.22464679915e-16	-0.2701	0.0	0.6827	1	
20200423_222130.434679	0.5	0.2161	-1.22464679915e-16	-0.2642	0.0	0.7017	1	
20200423_222130.534760	0.5	0.2239	-1.22464679915e-16	-0.2585	0.0	0.7014	1	
20200423_222130.634507	0.5	0.2311	-1.22464679915e-16	-0.2516	0.0	0.7047	1	
20200423_222130.734870	0.5	0.2391	-1.22464679915e-16	-0.2456	0.0	0.7067	1	
20200423_222130.834960	0.5	0.2454	-1.22464679915e-16	-0.2399	0.0	0.7085	1	
20200423_222130.934484	0.5	0.2538	-1.22464679915e-16	-0.2334	0.0	0.7063	1	
20200423_222131.036177	0.5	0.2612	-1.22464679915e-16	-0.2273	0.0	0.6835	1	
20200423_222131.134863	0.5	0.2693	-1.22464679915e-16	-0.22	0.0	0.7031	1	
20200423_222131.234244	0.5	0.2771	-1.22464679915e-16	-0.2147	0.0	0.7083	1	
20200423_222131.334443	0.5	0.2848	-1.22464679915e-16	-0.2084	0.0	0.6886	1	
20200423_222131.435046	0.5	0.2928	-1.22464679915e-16	-0.2023	0.0	0.7099	1	
20200423_222131.534305	0.5	0.2992	-1.22464679915e-16	-0.197	0.0	0.7057	1	
20200423_222131.634506	0.5	0.3074	-1.22464679915e-16	-0.19	0.0	0.7005	1	
20200423_222131.734674	0.5	0.3146	-1.22464679915e-16	-0.1841	0.0	0.6725	1	
20200423_222131.834239	0.5	0.3216	-1.22464679915e-16	-0.1783	0.0	0.6977	1	
20200423_222131.934810	0.5	0.3309	-1.22464679915e-16	-0.1723	0.0	0.7127	1	
20200423_222132.034698	0.5	0.3378	-1.22464679915e-16	-0.1684	0.0	0.7868	1	
20200423_222132.134860	0.5	0.3459	-1.22464679915e-16	-0.1613	0.0	0.8202	1	
20200423_222132.234161	0.5	0.3524	-1.22464679915e-16	-0.1548	0.0	0.8307	1	
20200423_222132.334190	0.5	0.3596	-1.22464679915e-16	-0.1474	0.0	0.8133	1	
20200423_222132.435175	0.5	0.3653	-1.22464679915e-16	-0.1404	0.0	0.8353	1	
20200423_222132.534773	0.5	0.3728	-1.22464679915e-16	-0.133	0.0	0.8347	1	
20200423_222132.634009	0.5	0.3798	-1.22464679915e-16	-0.1252	0.0	0.833	1	
20200423_222132.734414	0.5	0.3864	-1.22464679915e-16	-0.1187	0.0	0.8303	1	
20200423_222132.834614	0.5	0.393	-1.22464679915e-16	-0.1109	0.0	0.8318	1	
20200423_222132.934611	0.5	0.3997	-1.22464679915e-16	-0.1038	0.0	0.8305	1	
20200423_222133.034418	0.5	0.4065	-1.22464679915e-16	-0.0964	0.0	0.8322	1	
20200423_222133.134194	0.5	0.4139	-1.22464679915e-16	-0.0887	0.0	0.8309	1	
20200423_222133.234135	0.5	0.4208	-1.22464679915e-16	-0.0814	0.0	0.8333	1	
20200423_222133.334782	0.5	0.4263	-1.22464679915e-16	-0.0742	0.0	0.8316	1	
20200423_222133.434157	0.5	0.434	-1.22464679915e-16	-0.0666	0.0	0.8341	1	
20200423_222133.534318	0.5	0.4406	-1.22464679915e-16	-0.0598	0.0	0.8305	1	
20200423_222133.634559	0.5	0.4416	-1.22464679915e-16	-0.0557	0.0	0.7661	1	
20200423_222133.734226	0.5	0.4415	-1.22464679915e-16	-0.0534	0.0	0.709	1	
20200423_222133.834758	0.5	0.4402	-1.22464679915e-16	-0.0532	0.0	0.667	1	
20200423_222133.934860	0.5	0.4394	-1.22464679915e-16	-0.0511	0.0	0.6006	1	
20200423_222134.034447	0.5	0.4366	-1.22464679915e-16	-0.0495	0.0	0.5297	1	
20200423_222134.134605	0.5	0.4353	-1.22464679915e-16	-0.0484	0.0	0.4394	1	
20200423_222134.235203	0.5	0.4341	-1.22464679915e-16	-0.0468	0.0	0.3752	1	
20200423_222134.334036	0.5	0.433	-1.22464679915e-16	-0.0454	0.0	0.3166	1	
20200423_222134.434764	0.5	0.4328	-1.22464679915e-16	-0.0436	0.0	0.2595	1	
20200423_222134.534111	0.5	0.4314	-1.22464679915e-16	-0.0418	0.0	0.2011	1	
20200423_222134.634488	0.5	0.4306	-1.22464679915e-16	-0.0403	0.0	0.1407	1	
20200423_222134.734524	0.5	0.4301	-1.22464679915e-16	-0.0389	0.0	0.0891	1	
20200423_222134.834119	0.5	0.4297	-1.22464679915e-16	-0.0373	0.0	0.0382	1	
20200423_222134.934188	0.5	0.4291	-1.22464679915e-16	-0.036	0.0	-0.0095	0	
20200423_222134.935253	0.5	0.4291	-1.22464679915e-16	-0.0359	0.0	-0.015	0	
20200423_222134.938851	0.5	0.4291	-1.22464679915e-16	-0.0358	0.0	-0.0167	0	
20200423_222134.947300	0.5	0.4291	-1.22464679915e-16	-0.0357	0.0	-0.0181	0	
20200423_222134.955669	0.5	0.4291	-1.22464679915e-16	-0.0357	0.0	-0.0202	0	
20200423_222134.964203	0.5	0.429	-1.22464679915e-16	-0.0356	0.0	-0.0201	0	
20200423_222134.972660	0.5	0.4289	-1.22464679915e-16	-0.0355	0.0	-0.0207	0	
20200423_222134.980712	0.5	0.4289	-1.22464679915e-16	-0.0355	0.0	-0.0212	0	
20200423_222134.988965	0.5	0.4289	-1.22464679915e-16	-0.0354	0.0	-0.0218	0	
20200423_222134.997466	0.5	0.4289	-1.22464679915e-16	-0.0355	0.0	-0.0226	0	
20200423_222135.005589	0.5	0.4289	-1.22464679915e-16	-0.0355	0.0	-0.0234	0	
20200423_222135.014097	0.5	0.4289	-1.22464679915e-16	-0.0354	0.0	-0.0238	0	
20200423_222135.022434	0.5	0.429	-1.22464679915e-16	-0.0355	0.0	-0.0256	0	
20200423_222135.030645	0.5	0.429	-1.22464679915e-16	-0.0355	0.0	-0.0266	0	
20200423_222135.039083	0.5	0.429	-1.22464679915e-16	-0.0354	0.0	-0.0264	0	
20200423_222135.047025	0.5	0.429	-1.22464679915e-16	-0.0355	0.0	-0.0283	0	
20200423_222135.055560	0.5	0.4289	-1.22464679915e-16	-0.0353	0.0	-0.0263	0	
20200423_222135.063944	0.5	0.4289	-1.22464679915e-16	-0.0353	0.0	-0.0268	0	
20200423_222135.072466	0.5	0.4289	-1.22464679915e-16	-0.0353	0.0	-0.0268	0	
20200423_222135.080579	0.5	0.4288	-1.22464679915e-16	-0.0353	0.0	-0.0272	0	
20200423_222135.089254	0.5	0.4288	-1.22464679915e-16	-0.0353	0.0	-0.0274	0	
20200423_222135.097698	0.5	0.4288	-1.22464679915e-16	-0.0353	0.0	-0.0273	0	
20200423_222135.105672	0.5	0.4288	-1.22464679915e-16	-0.0354	0.0	-0.0286	0	
20200423_222135.114361	0.5	0.4288	-1.22464679915e-16	-0.0354	0.0	-0.0289	0	
20200423_222135.122519	0.5	0.4288	-1.22464679915e-16	-0.0354	0.0	-0.0295	0	
20200423_222135.130658	0.5	0.4288	-1.22464679915e-16	-0.0353	0.0	-0.0283	0	
20200423_222135.138615	0.5	0.4288	-1.22464679915e-16	-0.0354	0.0	-0.0291	0	
20200423_222135.146980	0.5	0.4288	-1.22464679915e-16	-0.0354	0.0	-0.0294	0	
20200423_222135.155483	0.5	0.4288	-1.22464679915e-16	-0.0354	0.0	-0.0298	0	
20200423_222135.164259	0.5	0.4288	-1.22464679915e-16	-0.0353	0.0	-0.0282	0	
20200423_222135.172525	0.5	0.4288	-1.22464679915e-16	-0.0353	0.0	-0.0284	0	
20200423_222135.181213	0.5	0.4288	-1.22464679915e-16	-0.0353	0.0	-0.0283	0	
20200423_222135.189245	0.5	0.4288	-1.22464679915e-16	-0.0354	0.0	-0.0308	0	
20200423_222135.197550	0.5	0.4288	-1.22464679915e-16	-0.0354	0.0	-0.0311	0	
20200423_222135.205506	0.5	0.4287	-1.22464679915e-16	-0.0354	0.0	-0.031	0	
20200423_222135.214123	0.5	0.4287	-1.22464679915e-16	-0.0352	0.0	-0.0284	0	
20200423_222135.222540	0.5	0.4287	-1.22464679915e-16	-0.0353	0.0	-0.0299	0	
20200423_222135.230534	0.5	0.4287	-1.22464679915e-16	-0.0353	0.0	-0.0303	0	
20200423_222135.238769	0.5	0.4287	-1.22464679915e-16	-0.0353	0.0	-0.0298	0	
20200423_222135.247196	0.5	0.4287	-1.22464679915e-16	-0.0354	0.0	-0.0314	0	
20200423_222135.255788	0.5	0.4287	-1.22464679915e-16	-0.0354	0.0	-0.0315	0	
20200423_222135.264377	0.5	0.4287	-1.22464679915e-16	-0.0353	0.0	-0.0294	0	
20200423_222135.272332	0.5	0.4287	-1.22464679915e-16	-0.0352	0.0	-0.0297	0	
20200423_222135.280485	0.5	0.4287	-1.22464679915e-16	-0.0354	0.0	-0.0321	0	
20200423_222135.289133	0.5	0.4287	-1.22464679915e-16	-0.0354	0.0	-0.0324	0	
20200423_222135.297376	0.5	0.4286	-1.22464679915e-16	-0.0352	0.0	-0.0298	0	
20200423_222135.305944	0.5	0.4287	-1.22464679915e-16	-0.0353	0.0	-0.0312	0	
20200423_222135.314190	0.5	0.4287	-1.22464679915e-16	-0.0353	0.0	-0.0314	0	
20200423_222135.322421	0.5	0.4287	-1.22464679915e-16	-0.0353	0.0	-0.0319	0	
20200423_222135.330394	0.5	0.4286	-1.22464679915e-16	-0.0353	0.0	-0.0305	0	
20200423_222135.338854	0.5	0.4286	-1.22464679915e-16	-0.0353	0.0	-0.0314	0	
20200423_222135.347298	0.5	0.4286	-1.22464679915e-16	-0.0353	0.0	-0.0315	0	
20200423_222135.355403	0.5	0.4286	-1.22464679915e-16	-0.0353	0.0	-0.0321	0	
20200423_222135.364682	0.5	0.4285	-1.22464679915e-16	-0.0352	0.0	-0.0303	0	
20200423_222135.372335	0.5	0.4286	-1.22464679915e-16	-0.0354	0.0	-0.0322	0	
20200423_222135.380558	0.5	0.4286	-1.22464679915e-16	-0.0354	0.0	-0.032	0	
20200423_222135.389196	0.5	0.4286	-1.22464679915e-16	-0.0354	0.0	-0.032	0	
20200423_222135.397519	0.5	0.4286	-1.22464679915e-16	-0.0354	0.0	-0.0322	0	
20200423_222135.405980	0.5	0.4286	-1.22464679915e-16	-0.0354	0.0	-0.0324	0	
20200423_222135.414013	0.5	0.4286	-1.22464679915e-16	-0.0352	0.0	-0.0298	0	
20200423_222135.422364	0.5	0.4286	-1.22464679915e-16	-0.0352	0.0	-0.031	0	
20200423_222135.430798	0.5	0.4286	-1.22464679915e-16	-0.0353	0.0	-0.0313	0	
20200423_222135.438757	0.5	0.4286	-1.22464679915e-16	-0.0352	0.0	-0.0309	0	
20200423_222135.447519	0.5	0.4286	-1.22464679915e-16	-0.0354	0.0	-0.0324	0	
20200423_222135.455824	0.5	0.4286	-1.22464679915e-16	-0.0354	0.0	-0.0325	0	
20200423_222135.464242	0.5	0.4286	-1.22464679915e-16	-0.0352	0.0	-0.0303	0	
20200423_222135.472500	0.5	0.4286	-1.22464679915e-16	-0.0352	0.0	-0.0303	0	
20200423_222135.481206	0.5	0.4286	-1.22464679915e-16	-0.0352	0.0	-0.0302	0	
20200423_222135.489131	0.5	0.4286	-1.22464679915e-16	-0.0352	0.0	-0.0303	0	
20200423_222135.497497	0.5	0.4286	-1.22464679915e-16	-0.0352	0.0	-0.0298	0	
20200423_222135.505927	0.5	0.4287	-1.22464679915e-16	-0.0353	0.0	-0.0313	0	
20200423_222135.514338	0.5	0.4286	-1.22464679915e-16	-0.0353	0.0	-0.0314	0	
20200423_222135.522322	0.5	0.4286	-1.22464679915e-16	-0.0353	0.0	-0.0319	0	
20200423_222135.530631	0.5	0.4286	-1.22464679915e-16	-0.0352	0.0	-0.0304	0	
20200423_222135.539180	0.5	0.4286	-1.22464679915e-16	-0.0353	0.0	-0.0318	0	
20200423_222135.546891	0.5	0.4286	-1.22464679915e-16	-0.0353	0.0	-0.0317	0	
20200423_222135.555639	0.5	0.4286	-1.22464679915e-16	-0.0354	0.0	-0.0323	0	
20200423_222135.564104	0.5	0.4285	-1.22464679915e-16	-0.0352	0.0	-0.0307	0	
20200423_222135.571687	0.5	0.4285	-1.22464679915e-16	-0.0352	0.0	-0.0305	0	
20200423_222135.580152	0.5	0.4285	-1.22464679915e-16	-0.0352	0.0	-0.0305	0	
20200423_222135.588496	0.5	0.4285	-1.22464679915e-16	-0.0353	0.0	-0.0327	0	
