Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_224604.228110	1.125	-0.2749	0.0	-0.8703	0.0	-2.2168	1	
20200423_224604.322842	1.125	-0.2749	0.0	-0.8703	0.0	-2.2168	1	
20200423_224604.422459	1.125	-0.2766	0.0	-0.871	0.0	-2.1858	1	
20200423_224604.521517	1.125	-0.2783	0.0	-0.8713	0.0	-2.1345	1	
20200423_224604.621203	1.125	-0.2805	0.0	-0.8716	0.0	-2.0734	1	
20200423_224604.722275	1.125	-0.2835	0.0	-0.8735	0.0	-2.0017	1	
20200423_224604.822319	1.125	-0.2871	0.0	-0.876	0.0	-1.9242	1	
20200423_224604.922384	1.125	-0.2903	0.0	-0.8782	0.0	-1.8505	1	
20200423_224605.022743	1.125	-0.2931	0.0	-0.8809	0.0	-1.7794	1	
20200423_224605.122739	1.125	-0.2959	0.0	-0.8849	0.0	-1.703	1	
20200423_224605.222323	1.125	-0.2988	0.0	-0.8901	0.0	-1.6244	1	
20200423_224605.322828	1.125	-0.3013	0.0	-0.8945	0.0	-1.5392	1	
20200423_224605.422177	1.125	-0.3033	0.0	-0.8989	0.0	-1.4737	1	
20200423_224605.521938	1.125	-0.305	0.0	-0.9051	0.0	-1.3941	1	
20200423_224605.621487	1.125	-0.3055	0.0	-0.9107	0.0	-1.3305	1	
20200423_224605.722209	1.125	-0.3063	0.0	-0.9161	0.0	-1.2515	1	
20200423_224605.822544	1.125	-0.3064	0.0	-0.9238	0.0	-1.1754	1	
20200423_224605.922416	1.125	-0.3054	0.0	-0.9305	0.0	-1.089	1	
20200423_224606.021862	1.125	-0.3048	0.0	-0.9374	0.0	-1.0114	1	
20200423_224606.122615	1.125	-0.3028	0.0	-0.9428	0.0	-0.9521	1	
20200423_224606.222611	1.125	-0.3007	0.0	-0.9507	0.0	-0.8709	1	
20200423_224606.322730	1.125	-0.298	0.0	-0.9571	0.0	-0.7929	1	
20200423_224606.422522	1.125	-0.2946	0.0	-0.9636	0.0	-0.7187	1	
20200423_224606.522296	1.125	-0.2893	0.0	-0.9707	0.0	-0.6492	1	
20200423_224606.621312	1.125	-0.2845	0.0	-0.9764	0.0	-0.578	1	
20200423_224606.722149	1.125	-0.278	0.0	-0.983	0.0	-0.5203	1	
20200423_224606.822632	1.125	-0.2723	0.0	-0.9891	0.0	-0.4264	1	
20200423_224606.922730	1.125	-0.2648	0.0	-0.9948	0.0	-0.3634	1	
20200423_224607.023327	1.125	-0.2584	0.0	-0.999	0.0	-0.2882	1	
20200423_224607.121491	1.125	-0.2503	0.0	-1.0035	0.0	-0.2248	1	
20200423_224607.221183	1.125	-0.2417	0.0	-1.0075	0.0	-0.1455	1	
20200423_224607.321314	1.125	-0.2327	0.0	-1.0113	0.0	-0.0664	1	
20200423_224607.421652	1.125	-0.2239	0.0	-1.0139	0.0	0.0063	1	
20200423_224607.521419	1.125	-0.2141	0.0	-1.0167	0.0	0.0835	1	
20200423_224607.621246	1.125	-0.2045	0.0	-1.0179	0.0	0.1584	1	
20200423_224607.721489	1.125	-0.194	0.0	-1.0183	0.0	0.2349	1	
20200423_224607.821251	1.125	-0.1845	0.0	-1.0181	0.0	0.3021	1	
20200423_224607.921292	1.125	-0.1749	0.0	-1.0171	0.0	0.3744	1	
20200423_224608.021734	1.125	-0.1637	0.0	-1.0146	0.0	0.4513	1	
20200423_224608.121218	1.125	-0.1528	0.0	-1.0112	0.0	0.5299	1	
20200423_224608.221284	1.125	-0.144	0.0	-1.0089	0.0	0.6064	1	
20200423_224608.321160	1.125	-0.133	0.0	-1.0045	0.0	0.6892	1	
20200423_224608.421256	1.125	-0.1257	0.0	-0.9988	0.0	0.7028	1	
20200423_224608.521405	1.125	-0.1173	0.0	-0.9927	0.0	0.7203	1	
20200423_224608.621201	1.125	-0.1107	0.0	-0.9869	0.0	0.7241	1	
20200423_224608.721270	1.125	-0.1025	0.0	-0.9801	0.0	0.7248	1	
20200423_224608.821166	1.125	-0.096	0.0	-0.9736	0.0	0.7207	1	
20200423_224608.921141	1.125	-0.0889	0.0	-0.9673	0.0	0.721	1	
20200423_224609.021155	1.125	-0.081	0.0	-0.9606	0.0	0.7208	1	
20200423_224609.121172	1.125	-0.0741	0.0	-0.9548	0.0	0.7267	1	
20200423_224609.221137	1.125	-0.0675	0.0	-0.9486	0.0	0.7285	1	
20200423_224609.321347	1.125	-0.0595	0.0	-0.9412	0.0	0.7264	1	
20200423_224609.421679	1.125	-0.0535	0.0	-0.9357	0.0	0.7248	1	
20200423_224609.521334	1.125	-0.0459	0.0	-0.9284	0.0	0.7229	1	
20200423_224609.621150	1.125	-0.039	0.0	-0.9226	0.0	0.725	1	
20200423_224609.721282	1.125	-0.0324	0.0	-0.9166	0.0	0.7252	1	
20200423_224609.821669	1.125	-0.024	0.0	-0.9089	0.0	0.7282	1	
20200423_224609.921317	1.125	-0.0176	0.0	-0.9022	0.0	0.7196	1	
20200423_224610.021732	1.125	-0.0105	0.0	-0.8958	0.0	0.7239	1	
20200423_224610.121253	1.125	-0.0026	0.0	-0.8889	0.0	0.721	1	
20200423_224610.221475	1.125	0.004	0.0	-0.8831	0.0	0.7223	1	
20200423_224610.321242	1.125	0.0117	0.0	-0.8758	0.0	0.7238	1	
20200423_224610.421481	1.125	0.0188	0.0	-0.8697	0.0	0.7261	1	
20200423_224610.521504	1.125	0.0243	0.0	-0.8646	0.0	0.7264	1	
20200423_224610.621422	1.125	0.0336	0.0	-0.8565	0.0	0.7243	1	
20200423_224610.721237	1.125	0.0396	0.0	-0.8511	0.0	0.7279	1	
20200423_224610.821193	1.125	0.0472	0.0	-0.8437	0.0	0.7263	1	
20200423_224610.923121	1.125	0.0554	0.0	-0.8369	0.0	0.7259	1	
20200423_224611.021297	1.125	0.061	0.0	-0.832	0.0	0.7282	1	
20200423_224611.121488	1.125	0.0697	0.0	-0.8244	0.0	0.729	1	
20200423_224611.221155	1.125	0.0762	0.0	-0.819	0.0	0.7307	1	
20200423_224611.321185	1.125	0.0839	0.0	-0.8107	0.0	0.7407	1	
20200423_224611.421213	1.125	0.0914	0.0	-0.8039	0.0	0.7195	1	
20200423_224611.521193	1.125	0.0988	0.0	-0.7983	0.0	0.7264	1	
20200423_224611.621089	1.125	0.1054	0.0	-0.7923	0.0	0.7266	1	
20200423_224611.721298	1.125	0.1134	0.0	-0.7847	0.0	0.7261	1	
20200423_224611.821137	1.125	0.1211	0.0	-0.7785	0.0	0.7277	1	
20200423_224611.921143	1.125	0.1275	0.0	-0.7722	0.0	0.7249	1	
20200423_224612.021293	1.125	0.135	0.0	-0.7649	0.0	0.7224	1	
20200423_224612.121361	1.125	0.1408	0.0	-0.7589	0.0	0.7148	1	
20200423_224612.221796	1.125	0.1496	0.0	-0.7517	0.0	0.7243	1	
20200423_224612.322968	1.125	0.156	0.0	-0.7457	0.0	0.726	1	
20200423_224612.421346	1.125	0.1635	0.0	-0.7387	0.0	0.727	1	
20200423_224612.521302	1.125	0.1715	0.0	-0.7318	0.0	0.7268	1	
20200423_224612.621190	1.125	0.1775	0.0	-0.726	0.0	0.7257	1	
20200423_224612.721464	1.125	0.1869	0.0	-0.7177	0.0	0.7228	1	
20200423_224612.821150	1.125	0.193	0.0	-0.7115	0.0	0.7139	1	
20200423_224612.921201	1.125	0.2001	0.0	-0.7059	0.0	0.7252	1	
20200423_224613.021251	1.125	0.2073	0.0	-0.6994	0.0	0.7246	1	
20200423_224613.121389	1.125	0.2146	0.0	-0.6938	0.0	0.7248	1	
20200423_224613.221433	1.125	0.2224	0.0	-0.6868	0.0	0.724	1	
