Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200424_212545.996553	1.0	-0.0407	2.0	0.3343	3.0	1.5681	1	
20200424_212546.099075	3.06161699787e-17	-0.0409	0.5	0.3354	1.57079632679	1.5643	1	
20200424_212546.198856	3.06161699787e-17	-0.0413	0.5	0.3418	1.57079632679	1.5499	1	
20200424_212546.299373	3.06161699787e-17	-0.0424	0.5	0.3532	1.57079632679	1.5128	1	
20200424_212546.398631	3.06161699787e-17	-0.0432	0.5	0.3673	1.57079632679	1.4316	1	
20200424_212546.498525	3.06161699787e-17	-0.043	0.5	0.3799	1.57079632679	1.3403	1	
20200424_212546.598504	3.06161699787e-17	-0.042	0.5	0.3925	1.57079632679	1.2694	1	
20200424_212546.699378	3.06161699787e-17	-0.0404	0.5	0.4044	1.57079632679	1.2048	1	
20200424_212546.799006	3.06161699787e-17	-0.036	0.5	0.4163	1.57079632679	1.1755	1	
20200424_212546.898870	3.06161699787e-17	-0.0329	0.5	0.4265	1.57079632679	1.1838	1	
20200424_212546.999587	3.06161699787e-17	-0.0296	0.5	0.4342	1.57079632679	1.1787	1	
20200424_212547.099190	3.06161699787e-17	-0.0268	0.5	0.4431	1.57079632679	1.1888	1	
20200424_212547.198608	3.06161699787e-17	-0.0256	0.5	0.4445	1.57079632679	1.228	1	
20200424_212547.299794	3.06161699787e-17	-0.0243	0.5	0.4456	1.57079632679	1.2783	1	
20200424_212547.400329	3.06161699787e-17	-0.0229	0.5	0.4448	1.57079632679	1.3252	1	
20200424_212547.499503	3.06161699787e-17	-0.0214	0.5	0.444	1.57079632679	1.3978	1	
20200424_212547.598460	3.06161699787e-17	-0.0206	0.5	0.4424	1.57079632679	1.439	1	
20200424_212547.699573	3.06161699787e-17	-0.0194	0.5	0.4418	1.57079632679	1.4869	1	
20200424_212547.799166	3.06161699787e-17	-0.0186	0.5	0.4424	1.57079632679	1.5503	0	
20200424_212547.899134	3.06161699787e-17	-0.018	0.5	0.4421	1.57079632679	1.5591	0	
20200424_212547.998804	3.06161699787e-17	-0.0181	0.5	0.4423	1.57079632679	1.5711	0	
20200424_212548.099079	-0.448401123334	-0.0181	1.38003675534	0.4425	1.88495559215	1.5722	1	
20200424_212548.199007	-0.448401123334	-0.0181	1.38003675534	0.445	1.88495559215	1.5865	1	
20200424_212548.299220	-0.448401123334	-0.018	1.38003675534	0.4523	1.88495559215	1.6236	1	
20200424_212548.398877	-0.448401123334	-0.018	1.38003675534	0.465	1.88495559215	1.7069	1	
20200424_212548.500061	-0.448401123334	-0.0178	1.38003675534	0.4779	1.88495559215	1.771	1	
20200424_212548.598538	-0.448401123334	-0.0203	1.38003675534	0.4932	1.88495559215	1.858	1	
20200424_212548.699980	-0.448401123334	-0.0275	1.38003675534	0.5101	1.88495559215	1.942	1	
20200424_212548.799339	-0.448401123334	-0.0287	1.38003675534	0.5247	1.88495559215	1.9459	1	
20200424_212548.899601	-0.448401123334	-0.0378	1.38003675534	0.5439	1.88495559215	1.978	1	
20200424_212548.999206	-0.448401123334	-0.0432	1.38003675534	0.561	1.88495559215	1.9587	1	
20200424_212549.098627	-0.448401123334	-0.051	1.38003675534	0.5771	1.88495559215	1.9555	1	
20200424_212549.199404	-0.448401123334	-0.0613	1.38003675534	0.5981	1.88495559215	1.9853	1	
20200424_212549.299057	-0.448401123334	-0.0688	1.38003675534	0.6157	1.88495559215	1.9564	1	
20200424_212549.398839	-0.448401123334	-0.0795	1.38003675534	0.6311	1.88495559215	1.9571	1	
20200424_212549.498880	-0.448401123334	-0.0842	1.38003675534	0.6524	1.88495559215	1.9564	1	
20200424_212549.599086	-0.448401123334	-0.0934	1.38003675534	0.6729	1.88495559215	1.9543	1	
20200424_212549.699420	-0.448401123334	-0.1021	1.38003675534	0.6902	1.88495559215	1.9565	1	
20200424_212549.799592	-0.448401123334	-0.1106	1.38003675534	0.7098	1.88495559215	1.9408	1	
20200424_212549.900731	-0.448401123334	-0.1185	1.38003675534	0.729	1.88495559215	1.9544	1	
20200424_212549.999107	-0.448401123334	-0.126	1.38003675534	0.7469	1.88495559215	1.9575	1	
20200424_212550.100391	-0.639384128959	-0.1337	0.880036755335	0.764	2.19911485751	1.9717	1	
20200424_212550.199048	-0.639384128959	-0.1403	0.880036755335	0.7806	2.19911485751	2.052	1	
20200424_212550.298963	-0.639384128959	-0.1434	0.880036755335	0.7896	2.19911485751	2.1535	1	
20200424_212550.398801	-0.639384128959	-0.1487	0.880036755335	0.8007	2.19911485751	2.2908	1	
20200424_212550.499664	-0.639384128959	-0.1522	0.880036755335	0.8083	2.19911485751	2.4048	1	
20200424_212550.598434	-0.639384128959	-0.1591	0.880036755335	0.8167	2.19911485751	2.5331	1	
20200424_212550.699104	-0.639384128959	-0.1686	0.880036755335	0.8245	2.19911485751	2.6698	1	
20200424_212550.799768	-0.639384128959	-0.1764	0.880036755335	0.8312	2.19911485751	2.7825	1	
20200424_212550.898742	-0.639384128959	-0.1879	0.880036755335	0.8366	2.19911485751	2.8757	1	
20200424_212550.999103	-0.639384128959	-0.2012	0.880036755335	0.8411	2.19911485751	2.9448	1	
20200424_212551.099825	-0.639384128959	-0.219	0.880036755335	0.8446	2.19911485751	2.989	1	
20200424_212551.199256	-0.639384128959	-0.2365	0.880036755335	0.8475	2.19911485751	3.0083	1	
20200424_212551.298777	-0.639384128959	-0.2572	0.880036755335	0.8486	2.19911485751	3.0246	1	
20200424_212551.399625	-0.639384128959	-0.2766	0.880036755335	0.851	2.19911485751	3.0212	1	
20200424_212551.499425	-0.639384128959	-0.2964	0.880036755335	0.8518	2.19911485751	3.017	1	
20200424_212551.598506	-0.639384128959	-0.3169	0.880036755335	0.8544	2.19911485751	3.0074	1	
20200424_212551.699921	-0.639384128959	-0.3354	0.880036755335	0.8561	2.19911485751	3.0066	1	
20200424_212551.799787	-0.639384128959	-0.3572	0.880036755335	0.8585	2.19911485751	3.0064	1	
20200424_212551.899259	-0.639384128959	-0.3779	0.880036755335	0.8615	2.19911485751	3.0051	1	
20200424_212551.999678	-0.639384128959	-0.3977	0.880036755335	0.8625	2.19911485751	2.9973	1	
20200424_212552.099725	-0.880036755335	-0.4184	0.639384128959	0.8646	2.51327412287	3.0041	1	
20200424_212552.199413	-0.880036755335	-0.4308	0.639384128959	0.8676	2.51327412287	3.0961	1	
20200424_212552.299010	-0.880036755335	-0.4418	0.639384128959	0.8689	2.51327412287	-3.0674	1	
20200424_212552.400028	-0.880036755335	-0.4512	0.639384128959	0.8701	2.51327412287	-2.9586	1	
20200424_212552.498752	-0.880036755335	-0.4652	0.639384128959	0.8681	2.51327412287	-2.8606	1	
20200424_212552.598514	-0.880036755335	-0.4776	0.639384128959	0.8662	2.51327412287	-2.7934	1	
20200424_212552.698837	-0.880036755335	-0.4931	0.639384128959	0.8601	2.51327412287	-2.7433	1	
20200424_212552.799517	-0.880036755335	-0.5089	0.639384128959	0.8535	2.51327412287	-2.7002	1	
20200424_212552.900287	-0.880036755335	-0.5273	0.639384128959	0.8446	2.51327412287	-2.677	1	
20200424_212552.998840	-0.880036755335	-0.5449	0.639384128959	0.8355	2.51327412287	-2.657	1	
20200424_212553.099608	-0.880036755335	-0.5606	0.639384128959	0.8269	2.51327412287	-2.655	1	
20200424_212553.198663	-0.880036755335	-0.5799	0.639384128959	0.8158	2.51327412287	-2.6551	1	
20200424_212553.299317	-0.880036755335	-0.5978	0.639384128959	0.8055	2.51327412287	-2.6595	1	
20200424_212553.399313	-0.880036755335	-0.6157	0.639384128959	0.7953	2.51327412287	-2.6618	1	
20200424_212553.500218	-0.880036755335	-0.6344	0.639384128959	0.7838	2.51327412287	-2.6643	1	
20200424_212553.598523	-0.880036755335	-0.65	0.639384128959	0.7744	2.51327412287	-2.6638	1	
20200424_212553.699822	-0.880036755335	-0.6671	0.639384128959	0.7664	2.51327412287	-2.6653	1	
20200424_212553.799813	-0.880036755335	-0.6864	0.639384128959	0.7549	2.51327412287	-2.6706	1	
20200424_212553.899364	-0.880036755335	-0.7039	0.639384128959	0.7446	2.51327412287	-2.6741	1	
20200424_212553.999516	-0.880036755335	-0.722	0.639384128959	0.7346	2.51327412287	-2.6785	1	
20200424_212554.099103	-1.38003675534	-0.7374	0.448401123334	0.7265	2.82743338823	-2.6731	1	
20200424_212554.200129	-1.38003675534	-0.7577	0.448401123334	0.7158	2.82743338823	-2.6763	1	
20200424_212554.298506	-1.38003675534	-0.7758	0.448401123334	0.7056	2.82743338823	-2.6764	1	
20200424_212554.399851	-1.38003675534	-0.7925	0.448401123334	0.6966	2.82743338823	-2.6769	1	
20200424_212554.498804	-1.38003675534	-0.8118	0.448401123334	0.6854	2.82743338823	-2.6808	1	
20200424_212554.598526	-1.38003675534	-0.8271	0.448401123334	0.6772	2.82743338823	-2.6768	1	
20200424_212554.700069	-1.38003675534	-0.846	0.448401123334	0.667	2.82743338823	-2.675	1	
20200424_212554.799373	-1.38003675534	-0.8659	0.448401123334	0.6564	2.82743338823	-2.6764	1	
20200424_212554.899405	-1.38003675534	-0.8843	0.448401123334	0.6461	2.82743338823	-2.6816	1	
20200424_212554.999254	-1.38003675534	-0.9021	0.448401123334	0.6377	2.82743338823	-2.6775	1	
20200424_212555.099446	-1.38003675534	-0.9197	0.448401123334	0.6271	2.82743338823	-2.6797	1	
20200424_212555.199623	-1.38003675534	-0.9379	0.448401123334	0.6167	2.82743338823	-2.6796	1	
20200424_212555.299212	-1.38003675534	-0.9558	0.448401123334	0.6073	2.82743338823	-2.6941	1	
20200424_212555.399497	-1.38003675534	-0.972	0.448401123334	0.599	2.82743338823	-2.7046	1	
20200424_212555.499834	-1.38003675534	-0.989	0.448401123334	0.5903	2.82743338823	-2.7196	1	
20200424_212555.598467	-1.38003675534	-1.0067	0.448401123334	0.5815	2.82743338823	-2.7264	1	
20200424_212555.699521	-1.38003675534	-1.0252	0.448401123334	0.5731	2.82743338823	-2.7217	1	
20200424_212555.799334	-1.38003675534	-1.0442	0.448401123334	0.5648	2.82743338823	-2.7166	1	
20200424_212555.898772	-1.38003675534	-1.0647	0.448401123334	0.5545	2.82743338823	-2.7154	1	
20200424_212555.998958	-1.38003675534	-1.0789	0.448401123334	0.5462	2.82743338823	-2.7316	1	
20200424_212556.099851	-0.5	-1.0959	6.12323399574e-17	0.5373	3.14159265359	-2.7446	1	
20200424_212556.199826	-0.5	-1.1103	6.12323399574e-17	0.5331	3.14159265359	-2.6565	1	
20200424_212556.299058	-0.5	-1.1208	6.12323399574e-17	0.5295	3.14159265359	-2.5332	1	
20200424_212556.399429	-0.5	-1.1294	6.12323399574e-17	0.5251	3.14159265359	-2.416	1	
20200424_212556.499298	-0.5	-1.1378	6.12323399574e-17	0.5192	3.14159265359	-2.2856	1	
20200424_212556.598485	-0.5	-1.1462	6.12323399574e-17	0.5118	3.14159265359	-2.1584	1	
20200424_212556.699378	-0.5	-1.1524	6.12323399574e-17	0.506	3.14159265359	-2.0324	1	
20200424_212556.799868	-0.5	-1.1592	6.12323399574e-17	0.4968	3.14159265359	-1.9009	1	
20200424_212556.900061	-0.5	-1.1645	6.12323399574e-17	0.4873	3.14159265359	-1.7819	1	
20200424_212556.998638	-0.5	-1.1682	6.12323399574e-17	0.4782	3.14159265359	-1.6428	1	
20200424_212557.098784	-0.5	-1.1712	6.12323399574e-17	0.4693	3.14159265359	-1.5215	1	
20200424_212557.199943	-0.5	-1.1724	6.12323399574e-17	0.4589	3.14159265359	-1.3956	1	
20200424_212557.299325	-0.5	-1.172	6.12323399574e-17	0.4469	3.14159265359	-1.2669	1	
20200424_212557.399411	-0.5	-1.1703	6.12323399574e-17	0.4376	3.14159265359	-1.1331	1	
20200424_212557.499469	-0.5	-1.167	6.12323399574e-17	0.4263	3.14159265359	-1.0018	1	
20200424_212557.598552	-0.5	-1.1625	6.12323399574e-17	0.4168	3.14159265359	-0.8821	1	
20200424_212557.698983	-0.5	-1.1562	6.12323399574e-17	0.4067	3.14159265359	-0.7841	1	
20200424_212557.799546	-0.5	-1.1486	6.12323399574e-17	0.3967	3.14159265359	-0.7029	1	
20200424_212557.899567	-0.5	-1.1352	6.12323399574e-17	0.3846	3.14159265359	-0.6428	1	
20200424_212558.000584	-0.5	-1.1216	6.12323399574e-17	0.3744	3.14159265359	-0.6111	1	
20200424_212558.099130	-1.38003675534	-1.1052	-0.448401123334	0.3639	-2.82743338823	-0.6026	1	
20200424_212558.199579	-1.38003675534	-1.0962	-0.448401123334	0.36	-2.82743338823	-0.6946	1	
20200424_212558.298805	-1.38003675534	-1.0868	-0.448401123334	0.3549	-2.82743338823	-0.8093	1	
20200424_212558.398883	-1.38003675534	-1.0787	-0.448401123334	0.3499	-2.82743338823	-0.9222	1	
20200424_212558.498765	-1.38003675534	-1.0714	-0.448401123334	0.344	-2.82743338823	-1.0436	1	
20200424_212558.598527	-1.38003675534	-1.0641	-0.448401123334	0.3363	-2.82743338823	-1.1751	1	
20200424_212558.699923	-1.38003675534	-1.0579	-0.448401123334	0.3282	-2.82743338823	-1.3126	1	
20200424_212558.799104	-1.38003675534	-1.0533	-0.448401123334	0.3193	-2.82743338823	-1.4399	1	
20200424_212558.898786	-1.38003675534	-1.0507	-0.448401123334	0.3113	-2.82743338823	-1.554	1	
20200424_212558.999155	-1.38003675534	-1.0483	-0.448401123334	0.3027	-2.82743338823	-1.6684	1	
20200424_212559.098885	-1.38003675534	-1.0467	-0.448401123334	0.2919	-2.82743338823	-1.7909	1	
20200424_212559.198746	-1.38003675534	-1.0472	-0.448401123334	0.2802	-2.82743338823	-1.8809	1	
20200424_212559.298783	-1.38003675534	-1.0514	-0.448401123334	0.265	-2.82743338823	-1.9275	1	
20200424_212559.399298	-1.38003675534	-1.0564	-0.448401123334	0.2471	-2.82743338823	-1.9683	1	
20200424_212559.499671	-1.38003675534	-1.0619	-0.448401123334	0.2287	-2.82743338823	-1.9805	1	
20200424_212559.598502	-1.38003675534	-1.0702	-0.448401123334	0.2102	-2.82743338823	-1.9722	1	
20200424_212559.699735	-1.38003675534	-1.0778	-0.448401123334	0.1922	-2.82743338823	-1.968	1	
20200424_212559.800959	-1.38003675534	-1.0855	-0.448401123334	0.172	-2.82743338823	-1.9723	1	
20200424_212559.899011	-1.38003675534	-1.0927	-0.448401123334	0.1526	-2.82743338823	-1.9743	1	
20200424_212559.999387	-1.38003675534	-1.1003	-0.448401123334	0.1353	-2.82743338823	-1.9757	1	
20200424_212600.098583	-0.880036755335	-1.108	-0.639384128959	0.1149	-2.51327412287	-1.9778	1	
20200424_212600.199377	-0.880036755335	-1.1154	-0.639384128959	0.0949	-2.51327412287	-1.9795	1	
20200424_212600.299341	-0.880036755335	-1.1223	-0.639384128959	0.0772	-2.51327412287	-1.9786	1	
20200424_212600.400232	-0.880036755335	-1.1293	-0.639384128959	0.0635	-2.51327412287	-1.9037	1	
20200424_212600.499502	-0.880036755335	-1.1347	-0.639384128959	0.0544	-2.51327412287	-1.77	1	
20200424_212600.598521	-0.880036755335	-1.1384	-0.639384128959	0.0447	-2.51327412287	-1.6628	1	
20200424_212600.699380	-0.880036755335	-1.1411	-0.639384128959	0.0354	-2.51327412287	-1.5414	1	
20200424_212600.800067	-0.880036755335	-1.1425	-0.639384128959	0.0215	-2.51327412287	-1.4288	1	
20200424_212600.899304	-0.880036755335	-1.1423	-0.639384128959	0.0078	-2.51327412287	-1.3309	1	
20200424_212600.999217	-0.880036755335	-1.1393	-0.639384128959	-0.0057	-2.51327412287	-1.2646	1	
20200424_212601.099831	-0.880036755335	-1.1344	-0.639384128959	-0.0225	-2.51327412287	-1.2201	1	
20200424_212601.199003	-0.880036755335	-1.129	-0.639384128959	-0.0373	-2.51327412287	-1.2048	1	
20200424_212601.298752	-0.880036755335	-1.1211	-0.639384128959	-0.054	-2.51327412287	-1.2008	1	
20200424_212601.398573	-0.880036755335	-1.1133	-0.639384128959	-0.0734	-2.51327412287	-1.1965	1	
20200424_212601.499343	-0.880036755335	-1.1056	-0.639384128959	-0.092	-2.51327412287	-1.1983	1	
20200424_212601.598537	-0.880036755335	-1.0973	-0.639384128959	-0.1129	-2.51327412287	-1.2024	1	
20200424_212601.700219	-0.880036755335	-1.0908	-0.639384128959	-0.13	-2.51327412287	-1.1988	1	
20200424_212601.799155	-0.880036755335	-1.081	-0.639384128959	-0.1518	-2.51327412287	-1.2009	1	
20200424_212601.898722	-0.880036755335	-1.0731	-0.639384128959	-0.1704	-2.51327412287	-1.2025	1	
20200424_212601.999127	-0.880036755335	-1.0655	-0.639384128959	-0.1875	-2.51327412287	-1.2047	1	
20200424_212602.098782	-0.639384128959	-1.0561	-0.880036755335	-0.2081	-2.19911485751	-1.2067	1	
20200424_212602.199752	-0.639384128959	-1.0497	-0.880036755335	-0.225	-2.19911485751	-1.2064	1	
20200424_212602.300363	-0.639384128959	-1.042	-0.880036755335	-0.2449	-2.19911485751	-1.1877	1	
20200424_212602.399458	-0.639384128959	-1.0356	-0.880036755335	-0.2613	-2.19911485751	-1.156	1	
20200424_212602.499229	-0.639384128959	-1.0289	-0.880036755335	-0.2768	-2.19911485751	-1.1232	1	
20200424_212602.598495	-0.639384128959	-1.0214	-0.880036755335	-0.293	-2.19911485751	-1.0858	1	
20200424_212602.699088	-0.639384128959	-1.0135	-0.880036755335	-0.3071	-2.19911485751	-1.065	1	
20200424_212602.800180	-0.639384128959	-1.0045	-0.880036755335	-0.3229	-2.19911485751	-1.0504	1	
20200424_212602.898979	-0.639384128959	-0.9939	-0.880036755335	-0.3411	-2.19911485751	-1.0287	1	
20200424_212602.999102	-0.639384128959	-0.9831	-0.880036755335	-0.3592	-2.19911485751	-1.0307	1	
20200424_212603.099293	-0.639384128959	-0.9732	-0.880036755335	-0.3756	-2.19911485751	-1.0286	1	
20200424_212603.198730	-0.639384128959	-0.9608	-0.880036755335	-0.3941	-2.19911485751	-1.0285	1	
20200424_212603.299205	-0.639384128959	-0.9497	-0.880036755335	-0.4106	-2.19911485751	-1.0284	1	
20200424_212603.398889	-0.639384128959	-0.9388	-0.880036755335	-0.4282	-2.19911485751	-1.0279	1	
20200424_212603.498874	-0.639384128959	-0.9288	-0.880036755335	-0.4437	-2.19911485751	-1.0307	1	
20200424_212603.598536	-0.639384128959	-0.9177	-0.880036755335	-0.4605	-2.19911485751	-1.0331	1	
20200424_212603.699264	-0.639384128959	-0.9064	-0.880036755335	-0.479	-2.19911485751	-1.0373	1	
20200424_212603.798862	-0.639384128959	-0.896	-0.880036755335	-0.4964	-2.19911485751	-1.036	1	
20200424_212603.898636	-0.639384128959	-0.8854	-0.880036755335	-0.5127	-2.19911485751	-1.037	1	
20200424_212603.999609	-0.639384128959	-0.873	-0.880036755335	-0.5304	-2.19911485751	-1.0428	1	
20200424_212604.099840	-0.448401123334	-0.8623	-1.38003675534	-0.5472	-1.88495559215	-1.0428	1	
20200424_212604.199065	-0.448401123334	-0.8522	-1.38003675534	-0.5631	-1.88495559215	-1.0403	1	
20200424_212604.298978	-0.448401123334	-0.8419	-1.38003675534	-0.5805	-1.88495559215	-1.0353	1	
20200424_212604.399673	-0.448401123334	-0.8323	-1.38003675534	-0.598	-1.88495559215	-1.0348	1	
20200424_212604.498717	-0.448401123334	-0.8213	-1.38003675534	-0.616	-1.88495559215	-1.0286	1	
20200424_212604.598554	-0.448401123334	-0.811	-1.38003675534	-0.6324	-1.88495559215	-1.0339	1	
20200424_212604.699046	-0.448401123334	-0.7999	-1.38003675534	-0.6489	-1.88495559215	-1.0505	1	
20200424_212604.799011	-0.448401123334	-0.7901	-1.38003675534	-0.6641	-1.88495559215	-1.0648	1	
20200424_212604.899636	-0.448401123334	-0.7804	-1.38003675534	-0.68	-1.88495559215	-1.0642	1	
20200424_212604.998753	-0.448401123334	-0.7684	-1.38003675534	-0.6995	-1.88495559215	-1.0677	1	
20200424_212605.099765	-0.448401123334	-0.7587	-1.38003675534	-0.7167	-1.88495559215	-1.0689	1	
20200424_212605.199018	-0.448401123334	-0.7484	-1.38003675534	-0.7346	-1.88495559215	-1.0626	1	
20200424_212605.299320	-0.448401123334	-0.7385	-1.38003675534	-0.7521	-1.88495559215	-1.064	1	
20200424_212605.399422	-0.448401123334	-0.726	-1.38003675534	-0.773	-1.88495559215	-1.0622	1	
20200424_212605.499489	-0.448401123334	-0.717	-1.38003675534	-0.788	-1.88495559215	-1.0586	1	
20200424_212605.598476	-0.448401123334	-0.7069	-1.38003675534	-0.8053	-1.88495559215	-1.0545	1	
20200424_212605.699040	-0.448401123334	-0.6959	-1.38003675534	-0.8235	-1.88495559215	-1.0509	1	
20200424_212605.799446	-0.448401123334	-0.6851	-1.38003675534	-0.8407	-1.88495559215	-1.064	1	
20200424_212605.898737	-0.448401123334	-0.6749	-1.38003675534	-0.8573	-1.88495559215	-1.0841	1	
20200424_212605.998430	-0.448401123334	-0.6667	-1.38003675534	-0.871	-1.88495559215	-1.1065	1	
20200424_212606.098478	-9.18485099361e-17	-0.6576	-0.5	-0.888	-1.57079632679	-1.1121	1	
20200424_212606.198651	-9.18485099361e-17	-0.6517	-0.5	-0.9025	-1.57079632679	-1.0341	1	
20200424_212606.299014	-9.18485099361e-17	-0.6477	-0.5	-0.9122	-1.57079632679	-0.9123	1	
20200424_212606.398892	-9.18485099361e-17	-0.6423	-0.5	-0.9219	-1.57079632679	-0.8013	1	
20200424_212606.499805	-9.18485099361e-17	-0.6376	-0.5	-0.9292	-1.57079632679	-0.6849	1	
20200424_212606.598527	-9.18485099361e-17	-0.6294	-0.5	-0.9387	-1.57079632679	-0.5424	1	
20200424_212606.700269	-9.18485099361e-17	-0.6226	-0.5	-0.9448	-1.57079632679	-0.4255	1	
20200424_212606.799709	-9.18485099361e-17	-0.6138	-0.5	-0.9514	-1.57079632679	-0.285	1	
20200424_212606.899186	-9.18485099361e-17	-0.604	-0.5	-0.9568	-1.57079632679	-0.1601	1	
20200424_212606.999186	-9.18485099361e-17	-0.5932	-0.5	-0.9603	-1.57079632679	-0.0194	1	
20200424_212607.100002	-9.18485099361e-17	-0.5825	-0.5	-0.9627	-1.57079632679	0.1149	1	
20200424_212607.198724	-9.18485099361e-17	-0.573	-0.5	-0.9633	-1.57079632679	0.2454	1	
20200424_212607.299164	-9.18485099361e-17	-0.562	-0.5	-0.9626	-1.57079632679	0.3672	1	
20200424_212607.399147	-9.18485099361e-17	-0.5506	-0.5	-0.9605	-1.57079632679	0.4971	1	
20200424_212607.499293	-9.18485099361e-17	-0.5388	-0.5	-0.9555	-1.57079632679	0.5857	1	
20200424_212607.598520	-9.18485099361e-17	-0.5257	-0.5	-0.9472	-1.57079632679	0.6451	1	
20200424_212607.699463	-9.18485099361e-17	-0.5122	-0.5	-0.9373	-1.57079632679	0.681	1	
20200424_212607.798817	-9.18485099361e-17	-0.4966	-0.5	-0.9239	-1.57079632679	0.6932	1	
20200424_212607.898907	-9.18485099361e-17	-0.4827	-0.5	-0.9108	-1.57079632679	0.6972	1	
20200424_212607.998877	-9.18485099361e-17	-0.4671	-0.5	-0.8974	-1.57079632679	0.698	1	
20200424_212608.098808	0.448401123334	-0.4511	-1.38003675534	-0.8836	-1.25663706144	0.6834	1	
20200424_212608.200478	0.448401123334	-0.444	-1.38003675534	-0.875	-1.25663706144	0.5951	1	
20200424_212608.299503	0.448401123334	-0.4374	-1.38003675534	-0.8691	-1.25663706144	0.4921	1	
20200424_212608.398519	0.448401123334	-0.4295	-1.38003675534	-0.862	-1.25663706144	0.3743	1	
20200424_212608.499563	0.448401123334	-0.4228	-1.38003675534	-0.8563	-1.25663706144	0.2398	1	
20200424_212608.598499	0.448401123334	-0.4132	-1.38003675534	-0.8504	-1.25663706144	0.1089	1	
20200424_212608.699118	0.448401123334	-0.4049	-1.38003675534	-0.8481	-1.25663706144	-0.0055	1	
20200424_212608.799503	0.448401123334	-0.3956	-1.38003675534	-0.8452	-1.25663706144	-0.1468	1	
20200424_212608.899559	0.448401123334	-0.3864	-1.38003675534	-0.8451	-1.25663706144	-0.2676	1	
20200424_212608.998803	0.448401123334	-0.3756	-1.38003675534	-0.8453	-1.25663706144	-0.3747	1	
20200424_212609.100106	0.448401123334	-0.3616	-1.38003675534	-0.8486	-1.25663706144	-0.4429	1	
20200424_212609.199258	0.448401123334	-0.3473	-1.38003675534	-0.8535	-1.25663706144	-0.5	1	
20200424_212609.299770	0.448401123334	-0.3318	-1.38003675534	-0.8615	-1.25663706144	-0.5331	1	
20200424_212609.399916	0.448401123334	-0.3155	-1.38003675534	-0.8702	-1.25663706144	-0.5435	1	
20200424_212609.499212	0.448401123334	-0.2973	-1.38003675534	-0.8802	-1.25663706144	-0.542	1	
