Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200424_211107.793367	0.5	0.8151	-1.22464679915e-16	-0.6397	0.0	-0.5561	1	
20200424_211107.889041	0.5	0.8158	-1.22464679915e-16	-0.6404	0.0	-0.5497	1	
20200424_211107.989076	0.5	0.818	-1.22464679915e-16	-0.6419	0.0	-0.5745	1	
20200424_211108.089005	0.5	0.818	-1.22464679915e-16	-0.642	0.0	-0.5726	1	
20200424_211108.188953	0.5	0.8178	-1.22464679915e-16	-0.6417	0.0	-0.5875	1	
20200424_211108.289004	0.5	0.8178	-1.22464679915e-16	-0.6423	0.0	-0.5724	1	
20200424_211108.388945	0.5	0.8183	-1.22464679915e-16	-0.6431	0.0	-0.5596	1	
20200424_211108.489027	0.5	0.8189	-1.22464679915e-16	-0.6438	0.0	-0.54	1	
20200424_211108.588928	0.5	0.8201	-1.22464679915e-16	-0.6457	0.0	-0.5173	1	
20200424_211108.689074	0.5	0.8225	-1.22464679915e-16	-0.6481	0.0	-0.47	1	
20200424_211108.789045	0.5	0.8262	-1.22464679915e-16	-0.6515	0.0	-0.4175	1	
20200424_211108.889060	0.5	0.831	-1.22464679915e-16	-0.6556	0.0	-0.3486	1	
20200424_211108.988979	0.5	0.8373	-1.22464679915e-16	-0.6597	0.0	-0.2681	1	
20200424_211109.089098	0.5	0.8422	-1.22464679915e-16	-0.6633	0.0	-0.1819	1	
20200424_211109.189091	0.5	0.8511	-1.22464679915e-16	-0.6673	0.0	-0.0729	1	
20200424_211109.289022	0.5	0.8609	-1.22464679915e-16	-0.6719	0.0	0.041	1	
20200424_211109.388980	0.5	0.8724	-1.22464679915e-16	-0.6742	0.0	0.1648	1	
20200424_211109.488932	0.5	0.8818	-1.22464679915e-16	-0.6762	0.0	0.2735	1	
20200424_211109.588891	0.5	0.8939	-1.22464679915e-16	-0.6761	0.0	0.4148	1	
20200424_211109.688956	0.5	0.9037	-1.22464679915e-16	-0.6741	0.0	0.5053	1	
20200424_211109.789006	0.5	0.915	-1.22464679915e-16	-0.6717	0.0	0.6323	1	
20200424_211109.889090	0.5	0.9261	-1.22464679915e-16	-0.6677	0.0	0.7496	1	
