Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_224736.921882	0.75	0.7106	0.0	-0.0043	0.0	-0.0146	0	
20200423_224737.021442	0.75	0.7077	0.0	-0.0027	0.0	-0.005	0	
20200423_224737.121336	0.75	0.7105	0.0	-0.0043	0.0	-0.0149	0	
20200423_224737.221339	0.75	0.7076	0.0	-0.0026	0.0	-0.0066	0	
20200423_224737.321470	0.75	0.7106	0.0	-0.0043	0.0	-0.0145	0	
20200423_224737.422779	0.75	0.7106	0.0	-0.0043	0.0	-0.0142	0	
20200423_224737.521610	0.75	0.7106	0.0	-0.0044	0.0	-0.0149	0	
20200423_224737.622548	0.75	0.7088	0.0	-0.0032	0.0	0.0058	0	
20200423_224737.721221	0.75	0.7088	0.0	-0.0032	0.0	0.0058	0	
20200423_224737.821238	0.75	0.7076	0.0	-0.0026	0.0	-0.0072	0	
20200423_224737.923002	0.75	0.7106	0.0	-0.0043	0.0	-0.0145	0	
20200423_224738.022486	0.75	0.7106	0.0	-0.0043	0.0	-0.014	0	
20200423_224738.121927	0.75	0.7106	0.0	-0.0043	0.0	-0.0146	0	
20200423_224738.222470	0.75	0.7088	0.0	-0.0031	0.0	0.0055	0	
20200423_224738.321407	0.75	0.7088	0.0	-0.0031	0.0	0.0056	0	
20200423_224738.421809	0.75	0.7076	0.0	-0.0026	0.0	-0.0067	0	
20200423_224738.523021	0.75	0.7076	0.0	-0.0026	0.0	-0.0072	0	
20200423_224738.621350	0.75	0.7106	0.0	-0.0043	0.0	-0.0148	0	
20200423_224738.721162	0.75	0.7107	0.0	-0.0044	0.0	-0.0144	0	
20200423_224738.821019	0.75	0.7076	0.0	-0.0026	0.0	-0.007	0	
20200423_224738.921193	0.75	0.7076	0.0	-0.0026	0.0	-0.0063	0	
20200423_224739.021390	0.75	0.7106	0.0	-0.0043	0.0	-0.0147	0	
20200423_224739.121561	0.75	0.7106	0.0	-0.0043	0.0	-0.0145	0	
20200423_224739.222995	0.75	0.7106	0.0	-0.0043	0.0	-0.0152	0	
20200423_224739.321117	0.75	0.7105	0.0	-0.0043	0.0	-0.0152	0	
20200423_224739.421102	0.75	0.7106	0.0	-0.0043	0.0	-0.0148	0	
20200423_224739.522507	0.75	0.7106	0.0	-0.0043	0.0	-0.0148	0	
20200423_224739.621585	0.75	0.7088	0.0	-0.0031	0.0	0.0055	0	
20200423_224739.722246	0.75	0.7088	0.0	-0.0032	0.0	0.006	0	
20200423_224739.821128	0.75	0.7106	0.0	-0.0044	0.0	-0.0146	0	
20200423_224739.921230	0.75	0.7086	0.0	-0.0035	0.0	-0.0041	0	
20200423_224740.022421	0.606762745781	0.7106	0.440838939219	-0.0044	0.628318530718	-0.0129	1	
20200423_224740.122759	0.606762745781	0.7106	0.440838939219	-0.0044	0.628318530718	0.0302	1	
20200423_224740.223910	0.606762745781	0.7167	0.440838939219	-0.0083	0.628318530718	0.1052	1	
20200423_224740.322183	0.606762745781	0.7223	0.440838939219	-0.0109	0.628318530718	0.1924	1	
20200423_224740.422678	0.606762745781	0.7279	0.440838939219	-0.0144	0.628318530718	0.2733	1	
20200423_224740.521332	0.606762745781	0.736	0.440838939219	-0.0178	0.628318530718	0.3163	1	
20200423_224740.621184	0.606762745781	0.7417	0.440838939219	-0.0186	0.628318530718	0.4347	1	
20200423_224740.722716	0.606762745781	0.7485	0.440838939219	-0.0202	0.628318530718	0.5143	1	
20200423_224740.823624	0.606762745781	0.7568	0.440838939219	-0.0197	0.628318530718	0.5891	1	
20200423_224740.921004	0.606762745781	0.7638	0.440838939219	-0.0196	0.628318530718	0.6627	1	
20200423_224741.022554	0.606762745781	0.7716	0.440838939219	-0.018	0.628318530718	0.7363	1	
20200423_224741.123134	0.606762745781	0.7794	0.440838939219	-0.0159	0.628318530718	0.8117	1	
20200423_224741.221294	0.606762745781	0.7859	0.440838939219	-0.0129	0.628318530718	0.8738	1	
20200423_224741.321158	0.606762745781	0.7928	0.440838939219	-0.0092	0.628318530718	0.9419	1	
20200423_224741.422110	0.606762745781	0.8019	0.440838939219	-0.0067	0.628318530718	0.9871	1	
20200423_224741.521565	0.606762745781	0.8074	0.440838939219	-0.0028	0.628318530718	1.073	1	
20200423_224741.622576	0.606762745781	0.8141	0.440838939219	0.0034	0.628318530718	1.1556	1	
20200423_224741.723391	0.606762745781	0.82	0.440838939219	0.0074	0.628318530718	1.232	1	
20200423_224741.821138	0.606762745781	0.8276	0.440838939219	0.0126	0.628318530718	1.2993	1	
20200423_224741.923141	0.606762745781	0.8301	0.440838939219	0.0193	0.628318530718	1.3622	1	
20200423_224742.022624	0.606762745781	0.8368	0.440838939219	0.0263	0.628318530718	1.4456	1	
20200423_224742.121461	0.606762745781	0.8413	0.440838939219	0.0314	0.628318530718	1.4838	1	
20200423_224742.222656	0.606762745781	0.8455	0.440838939219	0.0417	0.628318530718	1.5977	1	
20200423_224742.321410	0.606762745781	0.8501	0.440838939219	0.0516	0.628318530718	1.6702	1	
20200423_224742.421682	0.606762745781	0.8507	0.440838939219	0.0579	0.628318530718	1.7289	1	
20200423_224742.522517	0.606762745781	0.854	0.440838939219	0.0651	0.628318530718	1.7946	1	
20200423_224742.621551	0.606762745781	0.8551	0.440838939219	0.0756	0.628318530718	1.8635	1	
20200423_224742.721222	0.606762745781	0.8571	0.440838939219	0.0819	0.628318530718	1.9098	1	
20200423_224742.821325	0.606762745781	0.8552	0.440838939219	0.0939	0.628318530718	1.9855	1	
20200423_224742.922457	0.606762745781	0.8552	0.440838939219	0.0939	0.628318530718	1.9855	1	
20200423_224743.021255	0.231762745781	0.8552	0.713292387221	0.0939	1.25663706144	1.9855	1	
20200423_224743.122971	0.231762745781	0.854	0.713292387221	0.1225	1.25663706144	2.2234	1	
20200423_224743.221681	0.231762745781	0.854	0.713292387221	0.1225	1.25663706144	2.2234	1	
20200423_224743.321042	0.231762745781	0.854	0.713292387221	0.1225	1.25663706144	2.2234	1	
20200423_224743.421245	0.231762745781	0.8473	0.713292387221	0.1414	1.25663706144	2.379	1	
20200423_224743.521951	0.231762745781	0.8399	0.713292387221	0.1558	1.25663706144	2.4978	1	
20200423_224743.621252	0.231762745781	0.8342	0.713292387221	0.1607	1.25663706144	2.5179	1	
20200423_224743.722462	0.231762745781	0.8273	0.713292387221	0.1653	1.25663706144	2.502	1	
20200423_224743.823050	0.231762745781	0.8119	0.713292387221	0.1708	1.25663706144	2.4084	1	
20200423_224743.921262	0.231762745781	0.8037	0.713292387221	0.1741	1.25663706144	2.3572	1	
20200423_224744.021199	0.231762745781	0.7985	0.713292387221	0.1777	1.25663706144	2.3351	1	
20200423_224744.123508	0.231762745781	0.7867	0.713292387221	0.1891	1.25663706144	2.3134	1	
20200423_224744.221141	0.231762745781	0.7813	0.713292387221	0.1934	1.25663706144	2.3025	1	
20200423_224744.322635	0.231762745781	0.7727	0.713292387221	0.203	1.25663706144	2.3006	1	
20200423_224744.421725	0.231762745781	0.7727	0.713292387221	0.203	1.25663706144	2.3006	1	
20200423_224744.522558	0.231762745781	0.7616	0.713292387221	0.2159	1.25663706144	2.3171	1	
20200423_224744.621142	0.231762745781	0.7567	0.713292387221	0.2216	1.25663706144	2.3136	1	
20200423_224744.723200	0.231762745781	0.7515	0.713292387221	0.2272	1.25663706144	2.3127	1	
20200423_224744.822387	0.231762745781	0.7422	0.713292387221	0.237	1.25663706144	2.311	1	
20200423_224744.922405	0.231762745781	0.7399	0.713292387221	0.2395	1.25663706144	2.3131	1	
20200423_224745.022562	0.231762745781	0.7335	0.713292387221	0.2473	1.25663706144	2.3125	1	
20200423_224745.121202	0.231762745781	0.7335	0.713292387221	0.2473	1.25663706144	2.3125	1	
20200423_224745.221233	0.231762745781	0.7147	0.713292387221	0.2677	1.25663706144	2.314	1	
20200423_224745.321571	0.231762745781	0.7147	0.713292387221	0.2677	1.25663706144	2.314	1	
20200423_224745.421281	0.231762745781	0.7036	0.713292387221	0.2796	1.25663706144	2.3099	1	
20200423_224745.522532	0.231762745781	0.6945	0.713292387221	0.2893	1.25663706144	2.3186	1	
20200423_224745.621362	0.231762745781	0.6921	0.713292387221	0.2945	1.25663706144	2.3427	1	
20200423_224745.721915	0.231762745781	0.6817	0.713292387221	0.306	1.25663706144	2.3682	1	
20200423_224745.822317	0.231762745781	0.676	0.713292387221	0.3119	1.25663706144	2.3769	1	
20200423_224745.921456	0.231762745781	0.6683	0.713292387221	0.3197	1.25663706144	2.3806	1	
20200423_224746.022535	-0.231762745781	0.6613	0.713292387221	0.3253	1.88495559215	2.3809	1	
20200423_224746.122032	-0.231762745781	0.6553	0.713292387221	0.3337	1.88495559215	2.4232	1	
20200423_224746.221539	-0.231762745781	0.6507	0.713292387221	0.3431	1.88495559215	2.507	1	
20200423_224746.321154	-0.231762745781	0.6473	0.713292387221	0.349	1.88495559215	2.5769	1	
20200423_224746.421702	-0.231762745781	0.6397	0.713292387221	0.3577	1.88495559215	2.6471	1	
20200423_224746.522759	-0.231762745781	0.6377	0.713292387221	0.3613	1.88495559215	2.6848	1	
20200423_224746.621122	-0.231762745781	0.6275	0.713292387221	0.3709	1.88495559215	2.7952	1	
20200423_224746.722446	-0.231762745781	0.6197	0.713292387221	0.3749	1.88495559215	2.8308	1	
20200423_224746.821343	-0.231762745781	0.6107	0.713292387221	0.3776	1.88495559215	2.8254	1	
20200423_224746.922132	-0.231762745781	0.6015	0.713292387221	0.381	1.88495559215	2.8269	1	
20200423_224747.022202	-0.231762745781	0.5909	0.713292387221	0.3844	1.88495559215	2.8279	1	
20200423_224747.122633	-0.231762745781	0.581	0.713292387221	0.3874	1.88495559215	2.8271	1	
