Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_222610.676181	0.5	0.324	-1.22464679915e-16	-0.3733	0.0	-0.0532	1	
20200423_222610.770663	0.5	0.324	-1.22464679915e-16	-0.3732	0.0	-0.0527	1	
20200423_222610.870554	0.5	0.3279	-1.22464679915e-16	-0.3736	0.0	-0.026	1	
20200423_222610.970834	0.5	0.3349	-1.22464679915e-16	-0.3749	0.0	0.0243	1	
20200423_222611.070686	0.5	0.3445	-1.22464679915e-16	-0.3771	0.0	0.097	1	
20200423_222611.170377	0.5	0.3524	-1.22464679915e-16	-0.3774	0.0	0.1613	1	
20200423_222611.270547	0.5	0.3609	-1.22464679915e-16	-0.3786	0.0	0.24	1	
20200423_222611.370722	0.5	0.3711	-1.22464679915e-16	-0.3786	0.0	0.3163	1	
20200423_222611.471113	0.5	0.38	-1.22464679915e-16	-0.3776	0.0	0.3939	1	
20200423_222611.570782	0.5	0.3896	-1.22464679915e-16	-0.3762	0.0	0.462	1	
20200423_222611.671371	0.5	0.398	-1.22464679915e-16	-0.3747	0.0	0.5538	1	
20200423_222611.771252	0.5	0.4074	-1.22464679915e-16	-0.3717	0.0	0.6101	1	
20200423_222611.871538	0.5	0.4175	-1.22464679915e-16	-0.3673	0.0	0.6926	1	
20200423_222611.970835	0.5	0.4247	-1.22464679915e-16	-0.3641	0.0	0.7806	1	
20200423_222612.070644	0.5	0.4342	-1.22464679915e-16	-0.358	0.0	0.8573	1	
20200423_222612.170689	0.5	0.4406	-1.22464679915e-16	-0.3529	0.0	0.92	1	
20200423_222612.270796	0.5	0.4485	-1.22464679915e-16	-0.3467	0.0	0.9965	1	
20200423_222612.370786	0.5	0.4567	-1.22464679915e-16	-0.3382	0.0	1.0701	1	
20200423_222612.470708	0.5	0.4636	-1.22464679915e-16	-0.331	0.0	1.1489	1	
20200423_222612.571051	0.5	0.4692	-1.22464679915e-16	-0.3225	0.0	1.2148	1	
20200423_222612.670705	0.5	0.4756	-1.22464679915e-16	-0.3141	0.0	1.2969	1	
20200423_222612.770620	0.5	0.4802	-1.22464679915e-16	-0.3053	0.0	1.3658	1	
20200423_222612.870554	0.5	0.4851	-1.22464679915e-16	-0.2938	0.0	1.4468	1	
20200423_222612.970726	0.5	0.4879	-1.22464679915e-16	-0.2848	0.0	1.4824	1	
20200423_222613.070559	0.5	0.4892	-1.22464679915e-16	-0.2759	0.0	1.5422	1	
20200423_222613.170751	0.5	0.4898	-1.22464679915e-16	-0.2654	0.0	1.5265	1	
20200423_222613.270536	0.5	0.49	-1.22464679915e-16	-0.2571	0.0	1.5518	1	
20200423_222613.370595	0.5	0.4904	-1.22464679915e-16	-0.2469	0.0	1.5532	1	
20200423_222613.470774	0.5	0.4908	-1.22464679915e-16	-0.237	0.0	1.5567	1	
20200423_222613.571087	0.5	0.491	-1.22464679915e-16	-0.2291	0.0	1.5511	1	
20200423_222613.670639	0.5	0.4908	-1.22464679915e-16	-0.2181	0.0	1.5553	1	
20200423_222613.770770	0.5	0.4917	-1.22464679915e-16	-0.2091	0.0	1.5554	1	
20200423_222613.870680	0.5	0.4918	-1.22464679915e-16	-0.1993	0.0	1.5596	1	
20200423_222613.970694	0.5	0.4918	-1.22464679915e-16	-0.1912	0.0	1.5561	1	
20200423_222614.070646	0.5	0.4924	-1.22464679915e-16	-0.1794	0.0	1.5593	1	
20200423_222614.170660	0.5	0.4935	-1.22464679915e-16	-0.17	0.0	1.5637	1	
20200423_222614.270599	0.5	0.4935	-1.22464679915e-16	-0.1597	0.0	1.5675	1	
20200423_222614.370717	0.5	0.4931	-1.22464679915e-16	-0.1504	0.0	1.565	1	
20200423_222614.470744	0.5	0.4932	-1.22464679915e-16	-0.1402	0.0	1.5651	1	
20200423_222614.570574	0.5	0.4933	-1.22464679915e-16	-0.1309	0.0	1.5538	1	
20200423_222614.671252	0.5	0.4933	-1.22464679915e-16	-0.1209	0.0	1.5729	1	
20200423_222614.770812	0.5	0.4934	-1.22464679915e-16	-0.1099	0.0	1.5497	1	
20200423_222614.871073	0.5	0.4938	-1.22464679915e-16	-0.1016	0.0	1.5708	1	
20200423_222614.971511	0.5	0.4947	-1.22464679915e-16	-0.091	0.0	1.5817	1	
20200423_222615.070638	0.5	0.4939	-1.22464679915e-16	-0.0819	0.0	1.5763	1	
20200423_222615.171392	0.5	0.4919	-1.22464679915e-16	-0.0778	0.0	1.5217	1	
20200423_222615.270814	0.5	0.4902	-1.22464679915e-16	-0.0781	0.0	1.4386	1	
20200423_222615.370714	0.5	0.4882	-1.22464679915e-16	-0.0777	0.0	1.3578	1	
20200423_222615.470521	0.5	0.4851	-1.22464679915e-16	-0.0771	0.0	1.264	1	
20200423_222615.570677	0.5	0.4817	-1.22464679915e-16	-0.0785	0.0	1.1744	1	
20200423_222615.670691	0.5	0.4796	-1.22464679915e-16	-0.0771	0.0	1.0934	1	
20200423_222615.771475	0.5	0.4757	-1.22464679915e-16	-0.0772	0.0	1.0037	1	
20200423_222615.870809	0.5	0.4737	-1.22464679915e-16	-0.0756	0.0	0.9208	1	
20200423_222615.970809	0.5	0.4711	-1.22464679915e-16	-0.0749	0.0	0.8438	1	
20200423_222616.070611	0.5	0.4693	-1.22464679915e-16	-0.0732	0.0	0.7703	1	
20200423_222616.170635	0.5	0.4672	-1.22464679915e-16	-0.0719	0.0	0.6984	1	
20200423_222616.271117	0.5	0.4658	-1.22464679915e-16	-0.0696	0.0	0.6258	1	
20200423_222616.370750	0.5	0.464	-1.22464679915e-16	-0.0683	0.0	0.5596	1	
20200423_222616.472005	0.5	0.4636	-1.22464679915e-16	-0.0664	0.0	0.4682	1	
20200423_222616.571160	0.5	0.4617	-1.22464679915e-16	-0.0651	0.0	0.4089	1	
