Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_222703.328950	3.06161699787e-17	-0.278	0.5	-1.066	1.57079632679	1.5404	1	
20200423_222703.429479	3.06161699787e-17	-0.278	0.5	-1.0659	1.57079632679	1.5377	1	
20200423_222703.529666	3.06161699787e-17	-0.2783	0.5	-1.0618	1.57079632679	1.519	1	
20200423_222703.629468	3.06161699787e-17	-0.2802	0.5	-1.0533	1.57079632679	1.4556	1	
20200423_222703.729330	3.06161699787e-17	-0.2811	0.5	-1.0435	1.57079632679	1.3928	1	
20200423_222703.829451	3.06161699787e-17	-0.2796	0.5	-1.0332	1.57079632679	1.3673	1	
20200423_222703.929638	3.06161699787e-17	-0.2778	0.5	-1.0239	1.57079632679	1.3595	1	
20200423_222704.029537	3.06161699787e-17	-0.2764	0.5	-1.0132	1.57079632679	1.3522	1	
20200423_222704.129502	3.06161699787e-17	-0.2751	0.5	-1.0055	1.57079632679	1.359	1	
20200423_222704.229517	3.06161699787e-17	-0.2724	0.5	-0.9944	1.57079632679	1.3602	1	
20200423_222704.329420	3.06161699787e-17	-0.271	0.5	-0.9856	1.57079632679	1.3472	1	
20200423_222704.429527	3.06161699787e-17	-0.2693	0.5	-0.9765	1.57079632679	1.3475	1	
20200423_222704.529609	3.06161699787e-17	-0.2668	0.5	-0.9664	1.57079632679	1.3405	1	
20200423_222704.629303	3.06161699787e-17	-0.266	0.5	-0.9579	1.57079632679	1.3317	1	
20200423_222704.729481	3.06161699787e-17	-0.2633	0.5	-0.9485	1.57079632679	1.3353	1	
20200423_222704.829399	3.06161699787e-17	-0.2612	0.5	-0.9381	1.57079632679	1.3441	1	
20200423_222704.929426	3.06161699787e-17	-0.2597	0.5	-0.9278	1.57079632679	1.3384	1	
20200423_222705.029477	3.06161699787e-17	-0.2579	0.5	-0.92	1.57079632679	1.3374	1	
20200423_222705.129560	3.06161699787e-17	-0.256	0.5	-0.9097	1.57079632679	1.3356	1	
20200423_222705.229412	3.06161699787e-17	-0.254	0.5	-0.8992	1.57079632679	1.3353	1	
20200423_222705.329408	3.06161699787e-17	-0.2518	0.5	-0.8897	1.57079632679	1.3341	1	
20200423_222705.429433	3.06161699787e-17	-0.2499	0.5	-0.8787	1.57079632679	1.3359	1	
20200423_222705.529478	3.06161699787e-17	-0.2486	0.5	-0.8705	1.57079632679	1.3342	1	
20200423_222705.629390	3.06161699787e-17	-0.2467	0.5	-0.8606	1.57079632679	1.3376	1	
20200423_222705.729403	3.06161699787e-17	-0.2447	0.5	-0.8514	1.57079632679	1.3332	1	
20200423_222705.829497	3.06161699787e-17	-0.2431	0.5	-0.8418	1.57079632679	1.3352	1	
20200423_222705.929555	3.06161699787e-17	-0.2414	0.5	-0.8338	1.57079632679	1.3348	1	
20200423_222706.029477	3.06161699787e-17	-0.2395	0.5	-0.8228	1.57079632679	1.3293	1	
20200423_222706.129479	3.06161699787e-17	-0.238	0.5	-0.8142	1.57079632679	1.3316	1	
20200423_222706.229341	3.06161699787e-17	-0.2355	0.5	-0.8049	1.57079632679	1.327	1	
20200423_222706.329493	3.06161699787e-17	-0.2338	0.5	-0.7945	1.57079632679	1.3272	1	
20200423_222706.429539	3.06161699787e-17	-0.2314	0.5	-0.785	1.57079632679	1.3277	1	
20200423_222706.529505	3.06161699787e-17	-0.2297	0.5	-0.7766	1.57079632679	1.3184	1	
20200423_222706.629361	3.06161699787e-17	-0.2275	0.5	-0.7671	1.57079632679	1.3174	1	
20200423_222706.729416	3.06161699787e-17	-0.2254	0.5	-0.7568	1.57079632679	1.3134	1	
20200423_222706.829896	3.06161699787e-17	-0.2236	0.5	-0.7488	1.57079632679	1.312	1	
20200423_222706.929408	3.06161699787e-17	-0.2209	0.5	-0.7385	1.57079632679	1.3099	1	
20200423_222707.029482	3.06161699787e-17	-0.2185	0.5	-0.7291	1.57079632679	1.3128	1	
20200423_222707.129531	3.06161699787e-17	-0.2168	0.5	-0.7186	1.57079632679	1.3115	1	
20200423_222707.229496	3.06161699787e-17	-0.2144	0.5	-0.7101	1.57079632679	1.3121	1	
20200423_222707.329678	3.06161699787e-17	-0.2123	0.5	-0.6996	1.57079632679	1.3092	1	
20200423_222707.429442	3.06161699787e-17	-0.2101	0.5	-0.6905	1.57079632679	1.3094	1	
20200423_222707.529593	3.06161699787e-17	-0.2073	0.5	-0.6811	1.57079632679	1.3111	1	
20200423_222707.629430	3.06161699787e-17	-0.2057	0.5	-0.6702	1.57079632679	1.305	1	
20200423_222707.729299	3.06161699787e-17	-0.2038	0.5	-0.6624	1.57079632679	1.3049	1	
20200423_222707.829527	3.06161699787e-17	-0.2007	0.5	-0.6525	1.57079632679	1.3211	1	
20200423_222707.929435	3.06161699787e-17	-0.1979	0.5	-0.6422	1.57079632679	1.3728	1	
20200423_222708.029467	3.06161699787e-17	-0.1955	0.5	-0.6341	1.57079632679	1.4116	1	
20200423_222708.130510	3.06161699787e-17	-0.1949	0.5	-0.6255	1.57079632679	1.42	1	
20200423_222708.229339	3.06161699787e-17	-0.1935	0.5	-0.6164	1.57079632679	1.4175	1	
20200423_222708.329497	3.06161699787e-17	-0.1918	0.5	-0.6052	1.57079632679	1.4194	1	
20200423_222708.429537	3.06161699787e-17	-0.1904	0.5	-0.5945	1.57079632679	1.4204	1	
20200423_222708.529483	3.06161699787e-17	-0.1891	0.5	-0.5863	1.57079632679	1.4205	1	
20200423_222708.629383	3.06161699787e-17	-0.1876	0.5	-0.577	1.57079632679	1.4218	1	
20200423_222708.729349	3.06161699787e-17	-0.1863	0.5	-0.5664	1.57079632679	1.421	1	
20200423_222708.829490	3.06161699787e-17	-0.1857	0.5	-0.5572	1.57079632679	1.4202	1	
20200423_222708.929510	3.06161699787e-17	-0.1851	0.5	-0.5493	1.57079632679	1.4201	1	
20200423_222709.029496	3.06161699787e-17	-0.1836	0.5	-0.5374	1.57079632679	1.4202	1	
20200423_222709.129549	3.06161699787e-17	-0.1827	0.5	-0.5286	1.57079632679	1.4226	1	
