Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_222703.334711	0.5	1.1553	-1.22464679915e-16	-0.6642	0.0	3.0241	1	
20200423_222703.431495	0.5	1.155	-1.22464679915e-16	-0.6646	0.0	3.0126	1	
20200423_222703.532118	0.5	1.1502	-1.22464679915e-16	-0.6653	0.0	2.9432	1	
20200423_222703.630570	0.5	1.1424	-1.22464679915e-16	-0.6659	0.0	2.9011	1	
20200423_222703.730316	0.5	1.135	-1.22464679915e-16	-0.6663	0.0	2.8303	1	
20200423_222703.831416	0.5	1.125	-1.22464679915e-16	-0.6652	0.0	2.7375	1	
20200423_222703.931688	0.5	1.1193	-1.22464679915e-16	-0.6651	0.0	2.6622	1	
20200423_222704.031108	0.5	1.1111	-1.22464679915e-16	-0.663	0.0	2.6135	1	
20200423_222704.132179	0.5	1.1018	-1.22464679915e-16	-0.6601	0.0	2.5337	1	
20200423_222704.231957	0.5	1.0926	-1.22464679915e-16	-0.6559	0.0	2.4599	1	
20200423_222704.331246	0.5	1.0851	-1.22464679915e-16	-0.6524	0.0	2.3977	1	
20200423_222704.430413	0.5	1.0765	-1.22464679915e-16	-0.6477	0.0	2.3174	1	
20200423_222704.530569	0.5	1.0693	-1.22464679915e-16	-0.6421	0.0	2.2599	1	
20200423_222704.630295	0.5	1.0617	-1.22464679915e-16	-0.6349	0.0	2.2306	1	
20200423_222704.731725	0.5	1.0568	-1.22464679915e-16	-0.6283	0.0	2.2448	1	
20200423_222704.830456	0.5	1.0494	-1.22464679915e-16	-0.6188	0.0	2.2251	1	
20200423_222704.931433	0.5	1.0444	-1.22464679915e-16	-0.6122	0.0	2.2266	1	
20200423_222705.031255	0.5	1.0385	-1.22464679915e-16	-0.6051	0.0	2.2491	1	
20200423_222705.130490	0.5	1.0325	-1.22464679915e-16	-0.598	0.0	2.2285	1	
20200423_222705.230850	0.5	1.0269	-1.22464679915e-16	-0.5896	0.0	2.2515	1	
20200423_222705.331009	0.5	1.0205	-1.22464679915e-16	-0.5826	0.0	2.2452	1	
20200423_222705.431397	0.5	1.0146	-1.22464679915e-16	-0.5741	0.0	2.229	1	
20200423_222705.531372	0.5	1.0082	-1.22464679915e-16	-0.5672	0.0	2.245	1	
20200423_222705.630170	0.5	1.0028	-1.22464679915e-16	-0.5604	0.0	2.2287	1	
20200423_222705.730485	0.5	0.9976	-1.22464679915e-16	-0.5528	0.0	2.2309	1	
20200423_222705.831904	0.5	0.9909	-1.22464679915e-16	-0.5453	0.0	2.2469	1	
20200423_222705.931950	0.5	0.9843	-1.22464679915e-16	-0.5373	0.0	2.2267	1	
20200423_222706.032662	0.5	0.9776	-1.22464679915e-16	-0.5283	0.0	2.2271	1	
20200423_222706.131089	0.5	0.9727	-1.22464679915e-16	-0.5219	0.0	2.2277	1	
20200423_222706.230861	0.5	0.9661	-1.22464679915e-16	-0.5135	0.0	2.2296	1	
20200423_222706.330885	0.5	0.9599	-1.22464679915e-16	-0.5062	0.0	2.23	1	
20200423_222706.430843	0.5	0.9533	-1.22464679915e-16	-0.4977	0.0	2.2295	1	
