Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_222703.333833	-9.18485099361e-17	0.5806	-0.5	-1.1111	-1.57079632679	2.7449	1	
20200423_222703.433194	-9.18485099361e-17	0.5801	-0.5	-1.1111	-1.57079632679	2.7364	1	
20200423_222703.532565	-9.18485099361e-17	0.5785	-0.5	-1.1106	-1.57079632679	2.6977	1	
20200423_222703.632009	-9.18485099361e-17	0.5742	-0.5	-1.1094	-1.57079632679	2.6831	1	
20200423_222703.731574	-9.18485099361e-17	0.5644	-0.5	-1.1058	-1.57079632679	2.5745	1	
20200423_222703.831923	-9.18485099361e-17	0.5558	-0.5	-1.1044	-1.57079632679	2.4893	1	
20200423_222703.932082	-9.18485099361e-17	0.5466	-0.5	-1.1017	-1.57079632679	2.3903	1	
20200423_222704.032540	-9.18485099361e-17	0.54	-0.5	-1.0976	-1.57079632679	2.3465	1	
20200423_222704.133197	-9.18485099361e-17	0.5329	-0.5	-1.0945	-1.57079632679	2.3725	1	
20200423_222704.232251	-9.18485099361e-17	0.5248	-0.5	-1.0879	-1.57079632679	2.357	1	
20200423_222704.333039	-9.18485099361e-17	0.5181	-0.5	-1.0809	-1.57079632679	2.3662	1	
20200423_222704.433054	-9.18485099361e-17	0.5105	-0.5	-1.073	-1.57079632679	2.3584	1	
20200423_222704.534325	-9.18485099361e-17	0.5043	-0.5	-1.0672	-1.57079632679	2.3675	1	
20200423_222704.631780	-9.18485099361e-17	0.4963	-0.5	-1.0597	-1.57079632679	2.3612	1	
20200423_222704.732095	-9.18485099361e-17	0.4896	-0.5	-1.0535	-1.57079632679	2.3509	1	
20200423_222704.832330	-9.18485099361e-17	0.4823	-0.5	-1.0464	-1.57079632679	2.3572	1	
20200423_222704.931832	-9.18485099361e-17	0.4752	-0.5	-1.0394	-1.57079632679	2.3534	1	
20200423_222705.032748	-9.18485099361e-17	0.4668	-0.5	-1.0322	-1.57079632679	2.3545	1	
20200423_222705.133629	-9.18485099361e-17	0.4607	-0.5	-1.0256	-1.57079632679	2.3533	1	
20200423_222705.231934	-9.18485099361e-17	0.4528	-0.5	-1.0184	-1.57079632679	2.3549	1	
20200423_222705.332134	-9.18485099361e-17	0.4441	-0.5	-1.0077	-1.57079632679	2.3049	1	
20200423_222705.431797	-9.18485099361e-17	0.4377	-0.5	-1.0029	-1.57079632679	2.3271	1	
20200423_222705.532503	-9.18485099361e-17	0.4299	-0.5	-0.9947	-1.57079632679	2.3263	1	
20200423_222705.631630	-9.18485099361e-17	0.4229	-0.5	-0.9878	-1.57079632679	2.33	1	
20200423_222705.732310	-9.18485099361e-17	0.4159	-0.5	-0.9811	-1.57079632679	2.3315	1	
20200423_222705.832095	-9.18485099361e-17	0.4089	-0.5	-0.9742	-1.57079632679	2.3315	1	
20200423_222705.932367	-9.18485099361e-17	0.4008	-0.5	-0.9669	-1.57079632679	2.3112	1	
